ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
16	"ENSMUSG00000036097"	"Slf2"	chr19	+	44949172	44949314	44955405	44955508	44947443	44947519	44955941	44956118	16	48,66,48	42,58,59	43,39,50	43,48,59	98	98	0.432836212401	1.0	0.533,0.532,0.449	0.5,0.448,0.459	0.036
17	"ENSMUSG00000025189"	"Cnnm1"	chr19	+	43460815	43460863	43473283	43473447	43460287	43460387	43479859	43480043	17	11,40,8	3,9,2	2,3,1	0,0,1	97	98	0.0012825970936	0.07727182779848116	0.787,0.818,0.802	1.0,1.0,0.503	-0.032
18	"ENSMUSG00000018820"	"Zfyve27"	chr19	+	42159984	42160182	42165827	42165898	42159032	42159107	42167727	42167929	18	17,20,13	63,58,64	21,20,16	93,89,68	98	98	0.490573520868	1.0	0.212,0.256,0.169	0.184,0.183,0.19	0.027
19	"ENSMUSG00000018820"	"Zfyve27"	chr19	+	42171097	42171210	42171866	42172003	42169940	42170036	42172556	42172598	19	62,59,69	85,70,100	61,75,67	88,107,76	98	98	0.976007407878	1.0	0.422,0.457,0.408	0.409,0.412,0.469	-0.001
20	"ENSMUSG00000025159"	"Mms19"	chr19	-	41951238	41951300	41951388	41951473	41946296	41946383	41951839	41951909	20	2,3,1	37,45,46	5,2,0	41,55,43	98	98	0.704148856056	1.0	0.051,0.062,0.021	0.109,0.035,0.0	-0.003
21	"ENSMUSG00000025159"	"Mms19"	chr19	-	41951238	41951300	41951388	41951517	41946296	41946383	41951839	41951909	21	77,74,72	37,45,46	87,79,73	41,55,43	98	98	0.942119873933	1.0	0.675,0.622,0.61	0.68,0.59,0.629	0.003
22	"ENSMUSG00000025157"	"Zdhhc16"	chr19	+	41926461	41926656	41926802	41926891	41926041	41926289	41927246	41927275	22	62,68,44	44,52,56	42,61,66	38,50,50	98	98	0.727366446633	1.0	0.585,0.567,0.44	0.525,0.55,0.569	-0.017
23	"ENSMUSG00000025007"	"Aldh18a1"	chr19	-	40557476	40557621	40558911	40559036	40556765	40556839	40562214	40562305	23	61,79,53	38,64,33	54,39,61	31,30,28	98	98	0.369701719784	1.0	0.616,0.552,0.616	0.635,0.565,0.685	-0.034
24	"ENSMUSG00000056999"	"Ide"	chr19	-	37267442	37267587	37268068	37268213	37265496	37265607	37273281	37273364	24	160,225,123	1,3,1	114,150,130	1,1,0	98	98	1	1.0	0.994,0.987,0.992	0.991,0.993,1.0	-0.004
25	"ENSMUSG00000056999"	"Ide"	chr19	-	37268068	37268213	37273281	37273364	37265496	37265607	37275450	37275573	25	65,105,50	70,104,61	53,72,67	39,72,53	98	98	0.151352567885	1.0	0.481,0.502,0.45	0.576,0.5,0.558	-0.067
26	"ENSMUSG00000041180"	"Hectd2"	chr19	+	36564765	36564830	36572608	36572654	36562843	36562933	36574476	36574586	26	5,9,11	4,2,7	7,7,2	7,3,3	98	95	0.402274023732	1.0	0.548,0.814,0.604	0.492,0.693,0.393	0.129
27	"ENSMUSG00000041180"	"Hectd2"	chr19	+	36572608	36572654	36574476	36574586	36564765	36564830	36576286	36576435	27	10,12,4	3,5,5	7,6,2	4,3,1	95	98	0.791369118044	1.0	0.775,0.712,0.452	0.644,0.674,0.674	-0.018
28	"ENSMUSG00000024899"	"Papss2"	chr19	+	32629295	32629501	32637978	32638114	32618699	32618811	32640454	32640723	28	13,9,12	16,10,14	15,16,14	22,22,16	98	98	0.682809052859	1.0	0.448,0.474,0.462	0.405,0.421,0.467	0.03
29	"ENSMUSG00000040451"	"Sgms1"	chr19	-	32106940	32107094	32120145	32120263	32102625	32102792	32136923	32137763	29	9,11,7	7,4,6	12,7,17	9,19,17	98	98	0.11564412541	1.0	0.562,0.733,0.538	0.571,0.269,0.5	0.164
30	"ENSMUSG00000038658"	"Ric1"	chr19	+	29561574	29561613	29561866	29561977	29557164	29557368	29563180	29563270	30	23,37,33	56,49,39	23,31,35	35,45,51	88	98	0.825229311498	1.0	0.314,0.457,0.485	0.423,0.434,0.433	-0.011
31	"ENSMUSG00000038658"	"Ric1"	chr19	+	29561866	29561977	29563180	29563270	29561574	29561613	29563939	29564100	31	31,47,38	59,43,48	38,53,33	43,53,59	98	98	0.899206892307	1.0	0.344,0.522,0.442	0.469,0.5,0.359	-0.007
32	"ENSMUSG00000024789"	"Jak2"	chr19	+	29265300	29265487	29268566	29268701	29263700	29263812	29272255	29272343	32	84,43,59	87,52,78	88,86,67	77,87,74	98	98	0.281986472766	1.0	0.491,0.453,0.431	0.533,0.497,0.475	-0.043
33	"ENSMUSG00000024789"	"Jak2"	chr19	+	29266073	29266201	29268566	29268701	29265300	29265487	29272255	29272343	33	118,77,138	88,51,78	133,145,129	77,87,74	98	98	0.450812195143	1.0	0.573,0.602,0.639	0.633,0.625,0.635	-0.026
34	"ENSMUSG00000024785"	"Rcl1"	chr19	+	29108049	29108206	29111799	29111903	29105398	29105524	29120541	29121243	34	29,71,22	47,106,58	23,29,26	39,41,43	98	98	0.590260480799	1.0	0.382,0.401,0.275	0.371,0.414,0.377	-0.035
35	"ENSMUSG00000024921"	"Smarca2"	chr19	+	26737277	26737331	26748337	26748443	26729223	26729441	26748907	26749009	35	29,10,30	124,62,70	32,34,37	98,118,102	98	98	0.363791406439	1.0	0.19,0.139,0.3	0.246,0.224,0.266	-0.036
36	"ENSMUSG00000074925"	"Ptar1"	chr19	+	23680441	23680508	23683070	23683175	23671684	23671854	23686117	23686331	36	9,22,16	20,15,10	25,7,11	21,13,12	98	98	0.743152866855	1.0	0.31,0.595,0.615	0.543,0.35,0.478	0.05
37	"ENSMUSG00000024725"	"Ostf1"	chr19	-	18573714	18573765	18581529	18581576	18570964	18571283	18608983	18609082	37	180,144,133	194,166,170	179,215,178	193,232,216	96	98	0.759463793574	1.0	0.486,0.47,0.444	0.486,0.486,0.457	-0.01
38	"ENSMUSG00000024696"	"Lpxn"	chr19	+	12781296	12781454	12788583	12788630	12775960	12776043	12796699	12796799	38	53,31,40	111,64,78	59,57,53	69,119,90	98	96	0.217160973858	1.0	0.319,0.322,0.334	0.456,0.319,0.366	-0.055
39	"ENSMUSG00000024680"	"Ms4a2"	chr19	-	11596090	11596147	11596217	11596262	11595779	11595878	11596980	11597037	39	4,0,0	0,0,0	1,0,1	0,0,1	94	98	1	1.0	1.0,NA,NA	1.0,NA,0.51	0.245
40	"ENSMUSG00000024680"	"Ms4a2"	chr19	-	11596090	11596147	11596217	11596373	11595779	11595878	11596980	11597037	40	6,1,1	0,0,0	1,0,1	0,0,1	98	98	1	1.0	1.0,1.0,1.0	1.0,NA,0.5	0.25
41	"ENSMUSG00000024670"	"Cd6"	chr19	-	10770191	10770308	10771505	10771601	10768745	10768817	10771927	10772068	41	381,262,393	224,157,271	410,388,478	249,256,193	98	98	0.275685277626	1.0	0.63,0.625,0.592	0.622,0.602,0.712	-0.03
42	"ENSMUSG00000024670"	"Cd6"	chr19	-	10776557	10776905	10777707	10777776	10775679	10775991	10807171	10807220	42	169,148,234	275,161,269	241,232,205	299,283,259	98	98	0.84242969491	1.0	0.381,0.479,0.465	0.446,0.45,0.442	-0.004
43	"ENSMUSG00000067577"	"A430093F15Rik"	chr19	+	10733248	10733341	10762596	10762709	10718323	10718366	10762781	10763041	43	0,1,0	35,15,29	0,1,1	27,22,21	98	98	1	1.0	0.0,0.062,0.0	0.0,0.043,0.045	-0.009
44	"ENSMUSG00000067577"	"A430093F15Rik"	chr19	+	10759125	10759328	10762596	10762709	10718314	10718366	10762781	10763398	44	3,3,2	35,15,29	1,3,4	27,22,21	98	98	0.978975465846	1.0	0.079,0.167,0.065	0.036,0.12,0.16	-0.002
45	"ENSMUSG00000043789"	"Vwce"	chr19	+	10636732	10636875	10636951	10637034	10635352	10635446	10637343	10637407	45	1,0,0	15,20,18	0,0,0	4,4,7	98	98	1	1.0	0.062,0.0,0.0	0.0,0.0,0.0	0.021
46	"ENSMUSG00000043789"	"Vwce"	chr19	+	10636784	10636875	10636951	10637034	10635363	10635446	10637343	10637407	46	11,7,15	15,20,18	3,2,3	4,4,7	98	98	0.674810551999	1.0	0.423,0.259,0.455	0.429,0.333,0.3	0.025
47	"ENSMUSG00000034445"	"Cyb561a3"	chr19	+	10559661	10559860	10562545	10562754	10557826	10557926	10564054	10564209	47	24,20,22	43,29,55	47,64,48	72,87,85	98	98	0.283200701865	1.0	0.358,0.408,0.286	0.395,0.424,0.361	-0.043
48	"ENSMUSG00000034445"	"Cyb561a3"	chr19	+	10562545	10562754	10564054	10564209	10559661	10559860	10565185	10565342	48	27,14,19	43,29,45	37,36,51	77,80,98	98	98	0.853844223769	1.0	0.386,0.326,0.297	0.325,0.31,0.342	0.011
49	"ENSMUSG00000071645"	"Tut1"	chr19	+	8937106	8937207	8939707	8940186	8936450	8936766	8941383	8941493	49	42,54,31	37,54,34	20,36,32	38,45,31	98	98	0.220106498975	1.0	0.532,0.5,0.477	0.345,0.444,0.508	0.071
50	"ENSMUSG00000071647"	"Eml3"	chr19	+	8914926	8915058	8915825	8915893	8914725	8914851	8916391	8916480	50	53,49,46	50,43,40	50,56,42	44,51,54	98	98	0.544152991843	1.0	0.515,0.533,0.535	0.532,0.523,0.438	0.03
51	"ENSMUSG00000071662"	"Polr2g"	chr19	-	8771843	8771894	8774599	8774759	8771665	8771731	8775587	8775697	51	243,237,184	203,202,184	217,199,189	165,169,161	98	98	0.473652331259	1.0	0.545,0.54,0.5	0.568,0.541,0.54	-0.021
52	"ENSMUSG00000118346"	"Tmem179b"	chr19	-	8750653	8750788	8750868	8750986	8750391	8750470	8751698	8751831	52	9,9,23	113,85,126	17,25,15	94,86,88	98	98	0.0240759070134	0.5603432238746241	0.074,0.096,0.154	0.153,0.225,0.146	-0.067
53	"ENSMUSG00000118346"	"Tmem179b"	chr19	-	8750653	8750788	8750868	8751056	8750391	8750470	8751698	8751831	53	37,27,50	113,85,126	32,35,38	94,86,88	98	98	0.540537135437	1.0	0.247,0.241,0.284	0.254,0.289,0.302	-0.024
54	"ENSMUSG00000024965"	"Fermt3"	chr19	-	6979580	6979820	6979937	6980044	6979124	6979249	6980189	6980314	54	320,264,313	292,230,249	303,259,278	249,255,246	98	98	0.71256261539	1.0	0.523,0.534,0.557	0.549,0.504,0.531	0.01
55	"ENSMUSG00000024948"	"Map4k2"	chr19	+	6391488	6391546	6391773	6391864	6391189	6391375	6391932	6391997	55	113,59,98	116,77,120	106,99,93	143,125,127	98	98	0.357036022922	1.0	0.493,0.434,0.45	0.426,0.442,0.423	0.029
56	"ENSMUSG00000024948"	"Map4k2"	chr19	+	6392639	6392687	6392773	6392816	6392284	6392340	6393133	6393206	56	218,154,189	168,118,171	235,262,236	197,203,193	97	92	0.971222603792	1.0	0.552,0.553,0.512	0.531,0.55,0.537	-0.0
57	"ENSMUSG00000024948"	"Map4k2"	chr19	+	6392773	6392816	6393133	6393206	6392639	6392687	6393284	6393416	57	156,129,167	127,81,118	196,189,204	147,136,148	92	98	0.880253840454	1.0	0.567,0.629,0.601	0.587,0.597,0.595	0.006
58	"ENSMUSG00000024948"	"Map4k2"	chr19	+	6393133	6393206	6393284	6393416	6392773	6392816	6393490	6393553	58	176,126,178	97,62,99	201,215,206	85,116,109	98	98	0.576164275654	1.0	0.645,0.67,0.643	0.703,0.65,0.654	-0.016
59	"ENSMUSG00000024948"	"Map4k2"	chr19	+	6393831	6393913	6394001	6394109	6393490	6393553	6394436	6394515	59	92,88,109	248,173,250	129,112,105	308,306,286	98	98	0.346403220732	1.0	0.271,0.337,0.304	0.295,0.268,0.269	0.027
60	"ENSMUSG00000024948"	"Map4k2"	chr19	+	6395348	6395392	6395606	6395640	6394619	6394678	6395757	6395772	60	224,142,190	153,99,169	257,268,240	179,206,182	93	83	0.877149174762	1.0	0.566,0.561,0.501	0.562,0.537,0.541	-0.004
61	"ENSMUSG00000024948"	"Map4k2"	chr19	+	6395473	6395512	6395606	6395640	6395348	6395392	6395757	6395772	61	233,141,177	154,99,170	247,264,241	180,207,182	88	83	0.920067187509	1.0	0.588,0.573,0.495	0.564,0.546,0.555	-0.003
62	"ENSMUSG00000056917"	"Sipa1"	chr19	-	5709623	5709751	5710341	5711139	5709361	5709538	5713631	5713664	62	30,21,26	88,74,86	23,16,26	107,117,116	98	98	0.0172364475367	0.4563816077074006	0.254,0.221,0.232	0.177,0.12,0.183	0.076
63	"ENSMUSG00000056917"	"Sipa1"	chr19	-	5709623	5709751	5710341	5711109	5709361	5709538	5713631	5713680	63	0,1,0	88,74,86	0,1,0	107,117,116	98	98	1	1.0	0.0,0.013,0.0	0.0,0.008,0.0	0.002
64	"ENSMUSG00000056917"	"Sipa1"	chr19	-	5709623	5709751	5710341	5710426	5709361	5709538	5713631	5713688	64	0,1,0	88,74,86	1,0,1	107,117,116	98	98	1	1.0	0.0,0.013,0.0	0.009,0.0,0.009	-0.002
65	"ENSMUSG00000024862"	"Klc2"	chr19	-	5163968	5164199	5167221	5167497	5163808	5163878	5168149	5168328	65	2,2,4	21,17,25	5,9,11	27,30,20	98	98	0.0137865950417	0.40860033803346874	0.087,0.105,0.138	0.156,0.231,0.355	-0.137
66	"ENSMUSG00000024862"	"Klc2"	chr19	-	5163968	5164199	5167221	5167460	5163808	5163878	5168149	5168588	66	2,2,2	21,17,25	13,7,7	27,30,20	98	98	0.000759348889395	0.051747759560901885	0.087,0.105,0.074	0.325,0.189,0.259	-0.169
67	"ENSMUSG00000034108"	"Ccs"	chr19	-	4882860	4882921	4883368	4883546	4875971	4876049	4884200	4884338	67	52,37,60	49,36,50	60,64,69	47,45,57	98	98	0.366017291971	1.0	0.515,0.507,0.545	0.561,0.587,0.548	-0.043
68	"ENSMUSG00000034108"	"Ccs"	chr19	-	4883368	4883546	4884200	4884338	4882860	4882921	4888858	4888931	68	87,41,81	60,38,58	76,89,68	63,42,44	98	98	0.380676365586	1.0	0.592,0.519,0.583	0.547,0.679,0.607	-0.046
69	"ENSMUSG00000024889"	"Rce1"	chr19	-	4675040	4675120	4675220	4675323	4674712	4674791	4675460	4675631	69	24,27,30	14,29,25	18,23,28	38,24,36	98	98	0.0541086996256	0.7844417354585351	0.632,0.482,0.545	0.321,0.489,0.437	0.137
70	"ENSMUSG00000054611"	"Kdm2a"	chr19	-	4374364	4375074	4376836	4376926	4372414	4372578	4378155	4378287	70	148,113,101	125,147,125	132,143,152	131,128,123	98	98	0.150401879911	1.0	0.542,0.435,0.447	0.502,0.528,0.553	-0.053
71	"ENSMUSG00000054611"	"Kdm2a"	chr19	-	4376836	4376926	4378155	4378287	4374364	4375074	4378980	4379250	71	139,164,132	105,125,98	145,161,144	120,137,147	98	98	0.176672683133	1.0	0.57,0.567,0.574	0.547,0.54,0.495	0.043
72	"ENSMUSG00000054611"	"Kdm2a"	chr19	-	4378155	4378287	4378980	4379250	4376836	4376926	4381213	4381297	72	107,146,102	147,113,102	103,103,116	132,142,152	98	98	0.103876589877	0.9988568270400595	0.421,0.564,0.5	0.438,0.42,0.433	0.065
73	"ENSMUSG00000034616"	"Ssh3"	chr19	-	4316134	4316200	4316402	4316474	4315837	4316026	4316549	4316665	73	31,19,31	33,22,28	28,20,41	28,35,31	98	98	0.859139487811	1.0	0.484,0.463,0.525	0.5,0.364,0.569	0.013
74	"ENSMUSG00000040247"	"Tbc1d10c"	chr19	-	4235350	4235505	4237940	4238130	4233409	4235072	4238942	4239053	74	21,5,6	387,287,395	7,9,5	413,415,424	98	98	0.0456635191091	0.7250625732400438	0.051,0.017,0.015	0.017,0.021,0.012	0.011
75	"ENSMUSG00000040247"	"Tbc1d10c"	chr19	-	4235350	4235505	4238244	4238310	4234355	4235072	4238942	4239057	75	143,106,136	387,287,395	153,161,146	413,415,424	98	98	0.867686852386	1.0	0.27,0.27,0.256	0.27,0.28,0.256	-0.003
76	"ENSMUSG00000040247"	"Tbc1d10c"	chr19	-	4235350	4235505	4238244	4238723	4234398	4235072	4238942	4239057	76	13,4,12	387,287,395	13,13,10	413,415,424	98	98	0.800950169586	1.0	0.033,0.014,0.029	0.031,0.03,0.023	-0.003
77	"ENSMUSG00000040247"	"Tbc1d10c"	chr19	-	4237940	4238130	4238244	4238310	4235350	4235505	4238942	4239053	77	144,106,138	213,143,224	155,162,148	255,270,241	98	98	0.403262319183	1.0	0.403,0.426,0.381	0.378,0.375,0.38	0.026
78	"ENSMUSG00000040247"	"Tbc1d10c"	chr19	-	4237940	4238130	4238942	4239053	4235350	4235505	4239211	4239318	78	100,73,89	201,139,220	109,112,98	251,263,237	98	98	0.442440500199	1.0	0.332,0.344,0.288	0.303,0.299,0.293	0.023
79	"ENSMUSG00000040247"	"Tbc1d10c"	chr19	-	4237940	4238130	4238942	4239057	4235350	4235505	4239211	4239318	79	212,174,196	201,139,220	241,228,205	251,263,237	98	98	0.18409449461	1.0	0.513,0.556,0.471	0.49,0.464,0.464	0.041
80	"ENSMUSG00000040247"	"Tbc1d10c"	chr19	-	4238244	4238310	4238942	4239053	4234383	4235072	4239211	4239318	80	110,84,93	0,0,1	115,117,102	0,1,0	98	98	1	1.0	1.0,1.0,0.989	1.0,0.992,1.0	-0.001
81	"ENSMUSG00000040247"	"Tbc1d10c"	chr19	-	4238244	4238310	4238942	4239053	4237940	4238130	4239211	4239318	81	112,77,92	172,102,179	113,119,103	193,185,156	98	98	0.974742922314	1.0	0.394,0.43,0.339	0.369,0.391,0.398	0.002
82	"ENSMUSG00000024851"	"Pitpnm1"	chr19	+	4159825	4159996	4160494	4160659	4158664	4158867	4160841	4160990	82	60,34,56	62,37,38	57,68,56	51,59,58	98	98	0.926107603695	1.0	0.492,0.479,0.596	0.528,0.535,0.491	0.004
83	"ENSMUSG00000024843"	"Chka"	chr19	+	3925734	3925788	3931997	3932120	3914647	3914759	3934471	3934585	83	48,37,44	4,2,7	50,50,57	3,6,3	98	98	0.543441376479	1.0	0.923,0.949,0.863	0.943,0.893,0.95	-0.017
84	"ENSMUSG00000024843"	"Chka"	chr19	+	3925734	3925788	3932009	3932120	3914647	3914759	3934471	3934585	84	48,37,44	3,2,7	50,50,57	2,6,3	98	98	0.547028041456	1.0	0.941,0.949,0.863	0.962,0.893,0.95	-0.017
85	"ENSMUSG00000024908"	"Ppp6r3"	chr19	-	3509360	3509480	3514544	3514695	3504927	3507051	3516492	3516599	85	212,187,216	261,231,280	212,198,229	271,231,271	98	98	0.742578435146	1.0	0.448,0.447,0.435	0.439,0.462,0.458	-0.01
86	"ENSMUSG00000024908"	"Ppp6r3"	chr19	-	3557241	3557355	3561928	3562041	3546521	3546651	3564653	3564719	86	166,142,164	188,192,190	172,158,156	188,224,202	98	98	0.719419837055	1.0	0.469,0.425,0.463	0.478,0.414,0.436	0.01
87	"ENSMUSG00000024908"	"Ppp6r3"	chr19	-	3561928	3562041	3564653	3564719	3557241	3557355	3568244	3568382	87	203,178,219	175,156,186	256,238,214	198,229,170	98	98	0.835554755428	1.0	0.537,0.533,0.541	0.564,0.51,0.557	-0.007
88	"ENSMUSG00000024908"	"Ppp6r3"	chr19	-	3564653	3564719	3568244	3568382	3561494	3562041	3571733	3571747	88	159,156,173	167,141,164	160,165,181	174,158,155	98	98	0.975725916881	1.0	0.488,0.525,0.513	0.479,0.511,0.539	-0.001
89	"ENSMUSG00000024908"	"Ppp6r3"	chr19	-	3576701	3576929	3594107	3594255	3571733	3571920	3625640	3625696	89	80,60,68	193,189,186	74,77,82	189,179,197	98	98	0.383012564617	1.0	0.293,0.241,0.268	0.281,0.301,0.294	-0.025
90	"ENSMUSG00000024614"	"Tmx3"	chr18	+	90537228	90537274	90539080	90539161	90535517	90535641	90541653	90541753	90	88,88,90	81,88,72	104,94,100	61,92,70	95	98	0.236032570583	1.0	0.528,0.508,0.563	0.638,0.513,0.596	-0.049
91	"ENSMUSG00000024614"	"Tmx3"	chr18	+	90551106	90551164	90551344	90551398	90548183	90548282	90552505	90552562	91	101,106,108	103,100,123	86,120,109	88,91,115	98	98	0.481853641705	1.0	0.495,0.515,0.468	0.494,0.569,0.487	-0.024
92	"ENSMUSG00000023066"	"Rttn"	chr18	+	88997689	88997840	89001933	89002099	88995796	88995911	89004017	89004199	92	22,14,22	10,17,11	14,19,21	14,14,11	98	98	0.782170048839	1.0	0.687,0.452,0.667	0.5,0.576,0.656	0.025
93	"ENSMUSG00000023066"	"Rttn"	chr18	+	89126172	89126278	89128797	89128875	89121967	89122185	89131448	89131575	93	8,9,21	23,23,22	15,20,26	20,24,18	98	98	0.0777087684707	0.9099587338949293	0.258,0.281,0.488	0.429,0.455,0.591	-0.149
94	"ENSMUSG00000025423"	"Pias2"	chr18	+	77184944	77185419	77193500	77193585	77152903	77153115	77207607	77207658	94	40,40,44	67,78,77	38,43,46	69,70,70	98	98	0.639478160771	1.0	0.374,0.339,0.364	0.355,0.381,0.397	-0.019
95	"ENSMUSG00000025423"	"Pias2"	chr18	+	77232698	77232838	77237756	77237794	77223475	77223647	77240310	77240813	95	83,106,101	38,41,40	95,99,85	49,48,57	98	87	0.0787549593351	0.9144814691508679	0.66,0.697,0.692	0.633,0.647,0.57	0.066
96	"ENSMUSG00000024878"	"Cbwd1"	chr19	-	24930623	24930715	24932699	24932796	24926565	24926625	24935267	24935354	96	33,32,26	33,36,32	23,12,26	19,30,23	98	98	0.797515053514	1.0	0.5,0.471,0.448	0.548,0.286,0.531	0.018
97	"ENSMUSG00000024587"	"Nars"	chr18	-	64640842	64640929	64642315	64642386	64638227	64638449	64643523	64643602	97	176,267,166	140,208,129	162,143,116	135,131,142	98	98	0.100268857669	0.985646353115253	0.557,0.562,0.563	0.545,0.522,0.45	0.055
98	"ENSMUSG00000024587"	"Nars"	chr18	-	64642315	64642386	64643523	64643602	64640842	64640929	64644681	64644771	98	135,193,102	135,198,146	115,117,107	127,121,113	98	98	0.686440964477	1.0	0.5,0.494,0.411	0.475,0.492,0.486	-0.016
99	"ENSMUSG00000024587"	"Nars"	chr18	-	64643523	64643602	64644681	64644771	64642315	64642386	64644855	64644948	99	181,244,157	176,267,165	166,174,141	162,143,116	98	98	0.144593595345	1.0	0.507,0.477,0.488	0.506,0.549,0.549	-0.044
100	"ENSMUSG00000053644"	"Aldh7a1"	chr18	-	56665559	56665666	56667261	56667346	56665052	56665169	56670275	56670370	100	75,80,77	104,84,113	52,59,59	78,77,80	98	98	0.670518653316	1.0	0.419,0.488,0.405	0.4,0.434,0.424	0.018
101	"ENSMUSG00000048799"	"Cep120"	chr18	-	53818954	53819100	53830666	53830765	53814794	53816536	53836193	53836316	101	91,76,98	74,96,74	89,76,100	90,103,100	98	98	0.278734666076	1.0	0.552,0.442,0.57	0.497,0.425,0.5	0.047
102	"ENSMUSG00000042705"	"Commd10"	chr18	+	47096726	47096837	47100806	47100962	47093482	47093573	47123545	47123656	102	44,66,51	45,36,41	50,52,42	39,35,32	98	98	0.870524862228	1.0	0.494,0.647,0.554	0.562,0.598,0.568	-0.011
103	"ENSMUSG00000042705"	"Commd10"	chr18	+	47100806	47100962	47123545	47123656	47093482	47093573	47219318	47219378	103	0,2,0	43,52,48	1,3,2	39,43,35	98	98	0.138653071918	1.0	0.0,0.037,0.0	0.025,0.065,0.054	-0.036
