ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
35	"ENSMUSG00000071647"	"Eml3"	chr19	+	8916391	8916649	8916391	8916480	8916551	8916649	35	41,50,34	52,49,32	43,47,50	44,55,55	98	49	0.865637956305	1.0	0.283,0.338,0.347	0.328,0.299,0.312	0.01
36	"ENSMUSG00000010097"	"Nxf1"	chr19	+	8742285	8744197	8742285	8742395	8744160	8744197	36	478,334,483	124,184,131	593,595,582	123,134,145	98	49	0.0262216865282	0.3360409981229323	0.658,0.476,0.648	0.707,0.689,0.667	-0.094
37	"ENSMUSG00000010097"	"Nxf1"	chr19	+	8744443	8744647	8744443	8744512	8744591	8744647	37	95,67,74	367,395,417	79,101,120	403,409,426	98	49	0.134508258465	0.6927071363297991	0.115,0.078,0.081	0.089,0.11,0.123	-0.016
38	"ENSMUSG00000010110"	"Stx5a"	chr19	+	8720443	8720787	8720443	8720499	8720716	8720787	38	88,48,62	132,155,202	97,81,108	164,189,178	98	49	0.0714140721066	0.5426708430878063	0.25,0.134,0.133	0.228,0.176,0.233	-0.04
39	"ENSMUSG00000010110"	"Stx5a"	chr19	+	8726018	8726252	8726018	8726075	8726170	8726252	39	165,108,134	131,98,138	151,143,164	130,134,138	98	49	0.825632531795	1.0	0.386,0.355,0.327	0.367,0.348,0.373	-0.007
40	"ENSMUSG00000042729"	"Wdr74"	chr19	+	8713350	8713661	8713350	8713457	8713539	8713661	40	45,44,37	71,89,73	31,37,27	54,60,54	98	49	0.856386214607	1.0	0.241,0.198,0.202	0.223,0.236,0.2	-0.006
41	"ENSMUSG00000108414"	"Snhg1"	chr19	+	8701766	8702085	8701766	8701847	8702035	8702085	41	123,243,118	259,459,235	80,87,88	224,227,225	98	49	0.01712137638	0.26909634951962264	0.192,0.209,0.201	0.152,0.161,0.164	0.042
42	"ENSMUSG00000108414"	"Snhg1"	chr19	+	8702377	8702620	8702377	8702410	8702585	8702620	42	148,259,129	287,422,253	100,87,90	202,227,233	98	49	0.02270020528	0.31607217192972165	0.205,0.235,0.203	0.198,0.161,0.162	0.041
43	"ENSMUSG00000108414"	"Snhg1"	chr19	+	8703145	8703466	8703145	8703190	8703430	8703466	43	175,371,142	273,436,201	137,119,109	218,226,215	98	49	0.0123819184623	0.2357005463047706	0.243,0.298,0.261	0.239,0.208,0.202	0.051
44	"ENSMUSG00000108414"	"Snhg1"	chr19	+	8703145	8703466	8703145	8703288	8703430	8703466	44	185,386,154	0,0,0	134,124,112	1,0,0	98	49	1	1.0	1.0,1.0,1.0	0.985,1.0,1.0	0.005
45	"ENSMUSG00000108414"	"Snhg1"	chr19	+	8703430	8703807	8703430	8703466	8703602	8703807	45	125,241,93	335,552,299	97,100,84	279,264,262	98	49	0.487554815391	1.0	0.157,0.179,0.135	0.148,0.159,0.138	0.009
47	"ENSMUSG00000024764"	"Naa40"	chr19	-	7207086	7207648	7207086	7207170	7207552	7207648	47	37,29,33	1,0,0	28,30,26	0,0,0	98	49	1	1.0	0.949,1.0,1.0	1.0,1.0,1.0	-0.017
48	"ENSMUSG00000024764"	"Naa40"	chr19	-	7211468	7212523	7211468	7211521	7212427	7212523	48	20,13,18	111,116,113	29,24,24	110,111,110	98	49	0.0333320104325	0.3777627849016667	0.083,0.053,0.074	0.116,0.098,0.098	-0.034
49	"ENSMUSG00000024965"	"Fermt3"	chr19	-	6979124	6979820	6979124	6979249	6979580	6979820	49	108,67,123	291,230,247	126,107,113	249,252,245	98	49	0.136206282365	0.6949812451034801	0.157,0.127,0.199	0.202,0.175,0.187	-0.027
50	"ENSMUSG00000024965"	"Fermt3"	chr19	-	6980189	6980448	6980189	6980314	6980398	6980448	50	75,55,68	304,268,288	112,86,82	275,268,265	98	49	0.00201010432073	0.08751489161829365	0.11,0.093,0.106	0.169,0.138,0.134	-0.044
51	"ENSMUSG00000024960"	"Plcb3"	chr19	-	6931748	6932130	6931748	6931835	6932072	6932130	51	8,14,11	33,35,29	12,11,16	26,26,34	98	49	0.311343984291	0.9123994332960528	0.108,0.167,0.159	0.187,0.175,0.19	-0.039
52	"ENSMUSG00000024960"	"Plcb3"	chr19	-	6932574	6933274	6932574	6932725	6933081	6933274	52	8,5,3	13,21,14	9,9,11	16,9,15	98	49	0.0351654047346	0.3879838694559179	0.235,0.106,0.097	0.22,0.333,0.268	-0.128
53	"ENSMUSG00000024958"	"Gpr137"	chr19	-	6915437	6916242	6915437	6915897	6916123	6916242	53	5,2,3	19,23,24	3,10,1	28,40,38	98	49	0.652797943687	1.0	0.116,0.042,0.059	0.051,0.111,0.013	0.014
54	"ENSMUSG00000024958"	"Gpr137"	chr19	-	6917719	6918207	6917719	6917769	6917850	6918207	54	31,26,22	4,1,8	47,49,53	3,5,7	98	49	0.432862059491	0.9814143125530848	0.795,0.929,0.579	0.887,0.831,0.791	-0.069
55	"ENSMUSG00000024948"	"Map4k2"	chr19	+	6391773	6391997	6391773	6391864	6391932	6391997	55	172,144,124	116,77,120	237,187,211	142,125,127	98	49	0.403043846531	0.967685663007761	0.426,0.483,0.341	0.455,0.428,0.454	-0.029
56	"ENSMUSG00000024948"	"Map4k2"	chr19	+	6393831	6394109	6393831	6393913	6394001	6394109	56	80,36,41	180,126,177	63,52,52	213,199,179	98	49	0.413099413354	0.9713778937140689	0.182,0.125,0.104	0.129,0.116,0.127	0.013
57	"ENSMUSG00000024948"	"Map4k2"	chr19	+	6395606	6395866	6395606	6395640	6395757	6395866	57	61,43,32	208,134,229	65,46,51	253,282,233	98	49	0.431132062259	0.9814143125530848	0.128,0.138,0.065	0.114,0.075,0.099	0.014
58	"ENSMUSG00000024948"	"Map4k2"	chr19	+	6396113	6396323	6396113	6396155	6396238	6396323	58	146,91,137	232,165,240	162,160,122	245,301,240	98	49	0.772385450629	1.0	0.239,0.216,0.222	0.248,0.21,0.203	0.005
59	"ENSMUSG00000024948"	"Map4k2"	chr19	+	6402804	6403220	6402804	6402891	6403149	6403220	59	145,107,142	204,152,204	167,168,188	241,242,249	98	49	0.894922488599	1.0	0.262,0.26,0.258	0.257,0.258,0.274	-0.003
60	"ENSMUSG00000024947"	"Men1"	chr19	+	6385068	6385935	6385068	6385112	6385474	6385935	60	46,60,38	9,11,16	63,45,48	14,9,12	98	49	0.727442341067	1.0	0.719,0.732,0.543	0.692,0.714,0.667	-0.026
61	"ENSMUSG00000024947"	"Men1"	chr19	+	6388312	6388991	6388312	6388449	6388855	6388991	61	44,25,34	100,113,96	40,29,47	117,97,101	98	49	0.57103816276	1.0	0.18,0.1,0.15	0.146,0.13,0.189	-0.012
62	"ENSMUSG00000024773"	"Atg2a"	chr19	+	6308580	6309015	6308580	6308663	6308893	6309015	62	7,3,12	49,50,54	11,7,17	52,65,55	98	49	0.19844276658	0.797463513744	0.067,0.029,0.1	0.096,0.051,0.134	-0.028
63	"ENSMUSG00000024944"	"Arl2"	chr19	-	6186008	6187670	6186008	6186089	6187507	6187670	63	25,28,34	28,24,32	26,27,21	32,48,28	98	49	0.0708706532132	0.5416078360238129	0.309,0.368,0.347	0.289,0.22,0.273	0.081
64	"ENSMUSG00000024787"	"Snx15"	chr19	-	6173859	6174218	6173859	6173980	6174182	6174218	64	26,10,16	28,12,37	20,30,23	33,33,36	98	49	0.801788532499	1.0	0.317,0.294,0.178	0.233,0.312,0.242	0.001
65	"ENSMUSG00000024941"	"Scyl1"	chr19	-	5808827	5809174	5808827	5808888	5808967	5809174	65	24,45,33	55,82,66	30,27,34	79,82,64	98	49	0.266848660551	0.873418209190503	0.179,0.215,0.2	0.16,0.141,0.21	0.028
67	"ENSMUSG00000024940"	"Ltbp3"	chr19	+	5796670	5797051	5796670	5796763	5796928	5797051	67	0,0,1	5,2,5	0,1,1	13,4,12	98	49	1	1.0	0.0,0.0,0.091	0.0,0.111,0.04	-0.02
68	"ENSMUSG00000024940"	"Ltbp3"	chr19	+	5801199	5801555	5801199	5801331	5801426	5801555	68	4,1,7	9,2,14	1,1,4	8,14,6	98	49	0.0929246638876	0.6180139322824015	0.182,0.2,0.2	0.059,0.034,0.25	0.08
69	"ENSMUSG00000054874"	"Pcnx3"	chr19	-	5736654	5737246	5736654	5736694	5737146	5737246	69	13,16,19	63,70,98	22,16,17	93,88,67	98	49	0.765331856641	1.0	0.094,0.103,0.088	0.106,0.083,0.113	-0.006
70	"ENSMUSG00000056185"	"Snx32"	chr19	-	5546343	5547053	5546343	5546430	5547013	5547053	70	64,24,63	3,5,7	71,67,71	6,7,2	98	49	0.430662336953	0.9814143125530848	0.914,0.706,0.818	0.855,0.827,0.947	-0.064
71	"ENSMUSG00000056185"	"Snx32"	chr19	-	5548207	5548534	5548207	5548329	5548423	5548534	71	20,19,24	8,2,13	42,43,33	10,6,5	98	49	0.145489215971	0.7128971582579	0.556,0.826,0.48	0.677,0.782,0.767	-0.121
72	"ENSMUSG00000056185"	"Snx32"	chr19	-	5548207	5548534	5548207	5548329	5548439	5548534	72	25,19,31	6,2,3	50,47,36	4,8,3	98	49	0.673423753368	1.0	0.676,0.826,0.838	0.862,0.746,0.857	-0.042
73	"ENSMUSG00000024910"	"Ctsw"	chr19	-	5516047	5516339	5516047	5516173	5516258	5516339	73	98,30,46	63,17,39	49,61,57	23,34,30	98	49	0.16953448464	0.7481972222787814	0.438,0.469,0.371	0.516,0.473,0.487	-0.066
74	"ENSMUSG00000024910"	"Ctsw"	chr19	-	5516258	5516513	5516258	5516339	5516416	5516513	74	93,36,50	53,21,39	62,64,61	32,39,33	98	49	0.488681071504	1.0	0.467,0.462,0.391	0.492,0.451,0.48	-0.034
75	"ENSMUSG00000024910"	"Ctsw"	chr19	-	5516608	5517164	5516608	5516763	5517050	5517164	75	97,33,51	61,30,55	44,53,51	30,52,45	98	49	0.884386145512	1.0	0.443,0.355,0.317	0.423,0.338,0.362	-0.003
76	"ENSMUSG00000024855"	"Pacs1"	chr19	-	5192271	5192698	5192271	5192382	5192543	5192698	76	2,2,3	51,32,40	4,4,3	28,44,60	98	49	0.327232944273	0.9177871428190479	0.019,0.03,0.036	0.067,0.043,0.024	-0.016
77	"ENSMUSG00000063904"	"Dpp3"	chr19	-	4964607	4964962	4964607	4964728	4964837	4964962	77	46,38,39	111,119,103	33,41,45	94,103,93	98	49	0.552620021052	1.0	0.172,0.138,0.159	0.149,0.166,0.195	-0.014
78	"ENSMUSG00000063904"	"Dpp3"	chr19	-	4966725	4967114	4966725	4966838	4966919	4967114	78	7,3,5	146,150,118	3,2,5	107,119,115	98	49	0.499420196331	1.0	0.023,0.01,0.021	0.014,0.008,0.021	0.004
79	"ENSMUSG00000083282"	"Ctsf"	chr19	+	4906097	4906336	4906097	4906182	4906274	4906336	79	2,0,2	10,7,4	2,3,5	9,10,13	98	49	0.111881680055	0.6680820034825448	0.091,0.0,0.2	0.1,0.13,0.161	-0.033
80	"ENSMUSG00000083282"	"Ctsf"	chr19	+	4908619	4909550	4908619	4908700	4909430	4909550	80	5,0,4	2,5,9	1,3,3	6,15,9	98	49	0.41718751543	0.9730104715882687	0.556,0.0,0.182	0.077,0.091,0.143	0.142
81	"ENSMUSG00000034616"	"Ssh3"	chr19	-	4314341	4315177	4314341	4314488	4315130	4315177	81	34,21,19	23,17,14	34,36,33	25,17,22	98	49	0.50385973879	1.0	0.425,0.382,0.404	0.405,0.514,0.429	-0.046
82	"ENSMUSG00000034616"	"Ssh3"	chr19	-	4316402	4316665	4316402	4316474	4316549	4316665	82	16,20,11	31,19,31	16,24,21	27,20,41	98	49	0.529907141475	1.0	0.205,0.345,0.151	0.229,0.375,0.204	-0.036
83	"ENSMUSG00000034616"	"Ssh3"	chr19	-	4317774	4318610	4317774	4318006	4318572	4318610	83	30,29,27	11,12,13	30,32,40	13,17,23	98	49	0.416125961056	0.972833710741585	0.577,0.547,0.509	0.536,0.485,0.465	0.049
84	"ENSMUSG00000040663"	"Clcf1"	chr19	+	4270231	4273544	4270231	4270398	4272127	4273544	84	24,14,16	4,2,4	18,34,27	6,10,12	98	49	0.0743509002828	0.5517532288246985	0.75,0.778,0.667	0.6,0.63,0.529	0.145
85	"ENSMUSG00000024824"	"Rad9a"	chr19	-	4247337	4247585	4247337	4247402	4247475	4247585	85	79,62,88	33,36,28	100,97,91	27,30,33	98	49	0.138650388313	0.6968070797268718	0.545,0.463,0.611	0.649,0.618,0.58	-0.076
86	"ENSMUSG00000024824"	"Rad9a"	chr19	-	4247337	4247779	4247337	4247585	4247669	4247779	86	13,20,12	66,60,62	18,14,15	65,49,47	98	49	0.426151438218	0.9814143125530848	0.09,0.143,0.088	0.122,0.125,0.138	-0.021
87	"ENSMUSG00000040247"	"Tbc1d10c"	chr19	-	4238244	4238723	4238244	4238310	4238565	4238723	87	603,392,445	0,0,0	627,635,511	0,0,2	98	49	1	1.0	1.0,1.0,1.0	1.0,1.0,0.992	0.003
88	"ENSMUSG00000024851"	"Pitpnm1"	chr19	+	4156711	4157975	4156711	4156962	4157785	4157975	88	55,33,41	28,17,20	63,65,54	16,19,16	98	49	0.0105568370662	0.21353008716846544	0.495,0.493,0.506	0.663,0.631,0.628	-0.143
89	"ENSMUSG00000024851"	"Pitpnm1"	chr19	+	4161581	4162014	4161581	4161698	4161865	4162014	89	28,12,16	52,40,38	27,22,23	46,63,44	98	49	0.651577595139	1.0	0.212,0.13,0.174	0.227,0.149,0.207	-0.022
90	"ENSMUSG00000060803"	"Gstp1"	chr19	-	4087103	4087396	4087103	4087191	4087289	4087396	90	2,3,0	108,92,124	1,2,1	94,125,109	98	49	1	1.0	0.009,0.016,0.0	0.005,0.008,0.005	0.002
91	"ENSMUSG00000037263"	"Aldh3b3"	chr19	+	4015632	4016538	4015632	4016019	4016371	4016538	91	2,1,0	0,0,1	0,2,2	0,0,0	98	49	1	1.0	1.0,1.0,0.0	NA,1.0,1.0	-0.333
92	"ENSMUSG00000001750"	"Tcirg1"	chr19	-	3948547	3948875	3948547	3948638	3948717	3948875	92	17,22,10	101,66,83	22,21,24	87,122,120	98	49	0.810607453242	1.0	0.078,0.143,0.057	0.112,0.079,0.091	-0.001
93	"ENSMUSG00000001750"	"Tcirg1"	chr19	-	3951890	3952556	3951890	3952035	3952343	3952556	93	102,79,77	18,12,24	114,115,132	24,11,22	98	49	0.273506075244	0.8796546744334054	0.739,0.767,0.616	0.704,0.839,0.75	-0.057
94	"ENSMUSG00000001750"	"Tcirg1"	chr19	-	3953045	3953428	3953045	3953172	3953339	3953428	94	56,39,47	35,24,43	71,71,63	45,51,51	98	49	0.980197005482	1.0	0.444,0.448,0.353	0.441,0.41,0.382	0.004
95	"ENSMUSG00000024843"	"Chka"	chr19	+	3939879	3942213	3939879	3939988	3942106	3942213	95	21,19,22	47,53,58	25,19,16	58,76,57	98	49	0.329093090701	0.9188358781280465	0.183,0.152,0.159	0.177,0.111,0.123	0.028
96	"ENSMUSG00000024913"	"Lrp5"	chr19	-	3643515	3647480	3643515	3643626	3647243	3647480	96	2,2,6	43,65,27	6,4,5	43,41,38	98	49	0.201067565919	0.8010902711218112	0.023,0.015,0.1	0.065,0.047,0.062	-0.012
97	"ENSMUSG00000024908"	"Ppp6r3"	chr19	-	3533527	3537091	3533527	3534916	3536975	3537091	97	5,4,1	234,208,274	5,5,3	262,244,242	98	49	1	1.0	0.011,0.01,0.002	0.009,0.01,0.006	-0.001
98	"ENSMUSG00000024614"	"Tmx3"	chr18	+	90551344	90552562	90551344	90551398	90552505	90552562	98	24,22,13	103,99,123	24,12,20	88,91,115	98	49	0.849804146489	1.0	0.104,0.1,0.05	0.12,0.062,0.08	-0.003
99	"ENSMUSG00000024645"	"Timm21"	chr18	-	84965958	84967416	84965958	84966064	84967318	84967416	99	45,49,38	1,1,1	35,36,44	1,0,0	98	49	0.276501726752	0.8841178705285325	0.957,0.961,0.95	0.946,1.0,1.0	-0.026
100	"ENSMUSG00000024645"	"Timm21"	chr18	-	84967318	84967577	84967318	84967416	84967514	84967577	100	58,48,70	47,65,66	42,61,53	60,59,67	98	49	0.362601909884	0.9475996578301867	0.382,0.27,0.347	0.259,0.341,0.283	0.039
103	"ENSMUSG00000034006"	"Slc66a2"	chr18	+	80299521	80300333	80299521	80299618	80299996	80300333	103	10,5,16	11,12,19	14,9,22	22,29,26	98	49	0.55784336833	1.0	0.312,0.172,0.296	0.241,0.134,0.297	0.036
105	"ENSMUSG00000062526"	"Mppe1"	chr18	-	67360874	67362075	67360874	67360949	67362000	67362075	105	31,25,43	0,2,1	48,52,53	1,2,0	98	49	0.369498995497	0.9558778361770218	1.0,0.862,0.956	0.96,0.929,1.0	-0.024
106	"ENSMUSG00000062526"	"Mppe1"	chr18	-	67361083	67362075	67361083	67361192	67362000	67362075	106	21,22,20	49,39,46	40,39,37	52,62,51	98	49	0.0466517575803	0.4366984943170793	0.176,0.22,0.179	0.278,0.239,0.266	-0.069
107	"ENSMUSG00000024587"	"Nars"	chr18	-	64634373	64634946	64634373	64634505	64634814	64634946	107	54,58,46	157,214,146	51,37,60	139,150,158	98	49	0.645741941822	1.0	0.147,0.119,0.136	0.155,0.11,0.16	-0.008
108	"ENSMUSG00000024588"	"Fech"	chr18	-	64590335	64591785	64590335	64591288	64591725	64591785	108	4,3,2	41,44,54	1,1,3	41,40,46	98	49	0.223590024927	0.8376727166485527	0.047,0.033,0.018	0.012,0.012,0.032	0.014
109	"ENSMUSG00000024610"	"Cd74"	chr18	+	60945223	60945718	60945223	60945437	60945494	60945718	109	3444,2127,3312	0,0,0	4694,6043,6091	0,1,0	98	49	1	1.0	1.0,1.0,1.0	1.0,1.0,1.0	0.0
113	"ENSMUSG00000048799"	"Cep120"	chr18	-	53856154	53857653	53856154	53856377	53857425	53857653	113	11,7,8	40,47,54	6,14,7	48,57,54	98	49	0.817795738378	1.0	0.121,0.069,0.069	0.059,0.109,0.061	0.01
117	"ENSMUSG00000036452"	"Arhgap26"	chr18	+	39490605	39490881	39490605	39490716	39490851	39490881	117	9,3,8	0,0,0	12,8,19	1,0,0	98	49	1	1.0	1.0,1.0,1.0	0.857,1.0,1.0	0.048
118	"ENSMUSG00000024442"	"Dele1"	chr18	+	38385873	38387122	38385873	38386018	38386960	38387122	118	9,5,3	57,79,54	2,7,4	58,51,49	98	49	0.732964116994	1.0	0.073,0.031,0.027	0.017,0.064,0.039	0.004
119	"ENSMUSG00000024454"	"Hdac3"	chr18	-	38074005	38074819	38074005	38074163	38074431	38074819	119	23,29,24	142,180,165	33,20,29	142,152,142	98	49	0.33198189542	0.9188358781280465	0.075,0.075,0.068	0.104,0.062,0.093	-0.014
120	"ENSMUSG00000024454"	"Hdac3"	chr18	-	38074005	38074819	38074005	38074163	38074760	38074819	120	31,37,44	0,0,0	47,48,44	2,0,2	98	49	0.557118736283	1.0	1.0,1.0,1.0	0.922,1.0,0.917	0.054
121	"ENSMUSG00000024454"	"Hdac3"	chr18	-	38074431	38074819	38074431	38074511	38074760	38074819	121	68,78,79	103,97,86	76,86,87	73,88,76	98	49	0.054543020306	0.472850758578901	0.248,0.287,0.315	0.342,0.328,0.364	-0.061
122	"ENSMUSG00000024454"	"Hdac3"	chr18	-	38076730	38077262	38076730	38076804	38077181	38077262	122	98,85,116	110,101,106	96,100,92	109,109,83	98	49	0.897365098041	1.0	0.308,0.296,0.354	0.306,0.314,0.357	-0.006
123	"ENSMUSG00000044595"	"Dnd1"	chr18	-	36898148	36899063	36898148	36898610	36898945	36899063	123	6,15,4	1,2,1	3,7,8	1,2,3	98	49	0.154290645239	0.7250757152938422	0.75,0.789,0.667	0.6,0.636,0.571	0.133
124	"ENSMUSG00000024474"	"Ik"	chr18	+	36881603	36882337	36881603	36881771	36881923	36882337	124	48,46,58	295,304,350	51,72,75	311,318,343	98	49	0.0922322244078	0.6153587264046432	0.075,0.07,0.077	0.076,0.102,0.099	-0.018
125	"ENSMUSG00000024474"	"Ik"	chr18	+	36881923	36882337	36881923	36882038	36882266	36882337	125	81,70,115	213,187,175	93,97,87	175,182,204	98	49	0.608494196654	1.0	0.16,0.158,0.247	0.21,0.21,0.176	-0.01
126	"ENSMUSG00000091896"	"Ube2d2a"	chr18	+	35933004	35933268	35933004	35933082	35933162	35933268	126	73,70,75	264,324,265	92,112,112	271,278,299	98	49	0.00364068854972	0.11402770454339625	0.121,0.097,0.124	0.145,0.168,0.158	-0.043
127	"ENSMUSG00000038773"	"Kdm3b"	chr18	+	34927502	34928833	34927502	34927616	34928727	34928833	127	4,2,4	79,57,84	4,5,1	106,98,95	98	49	0.585428039337	1.0	0.025,0.017,0.023	0.019,0.025,0.005	0.005
128	"ENSMUSG00000044201"	"Cdc25c"	chr18	-	34883790	34884264	34883790	34884016	34884166	34884264	128	10,11,10	31,20,20	10,12,8	26,34,28	98	49	0.435398454459	0.9815522002609514	0.139,0.216,0.2	0.161,0.15,0.125	0.04
129	"ENSMUSG00000024370"	"Cdc23"	chr18	-	34769755	34770231	34769755	34769831	34770111	34770231	129	28,13,14	112,135,140	17,28,15	99,129,112	98	49	0.33111445486	0.9188358781280465	0.111,0.046,0.048	0.079,0.098,0.063	-0.012
130	"ENSMUSG00000003778"	"Brd8"	chr18	-	34741470	34743002	34741470	34741680	34742857	34743002	130	97,118,135	57,73,86	97,128,126	97,90,70	98	49	0.306960295649	0.9079014827423539	0.46,0.447,0.44	0.333,0.416,0.474	0.041
131	"ENSMUSG00000014504"	"Srp19"	chr18	+	34464802	34467417	34464802	34464878	34467345	34467417	131	46,46,39	97,101,114	48,54,46	97,119,100	98	49	0.50477532426	1.0	0.192,0.185,0.146	0.198,0.185,0.187	-0.016
132	"ENSMUSG00000024384"	"Iws1"	chr18	+	32219325	32220205	32219325	32219476	32220122	32220205	132	26,26,22	147,123,159	46,40,28	131,133,113	98	49	0.00207767887093	0.08751489161829365	0.081,0.096,0.065	0.149,0.131,0.11	-0.049
133	"ENSMUSG00000024287"	"Thoc1"	chr18	+	9959097	9959315	9959097	9959171	9959254	9959315	133	24,29,23	68,75,62	18,19,16	55,41,56	98	49	0.750503077482	1.0	0.15,0.162,0.156	0.141,0.188,0.125	0.005
134	"ENSMUSG00000024287"	"Thoc1"	chr18	+	9986288	9986603	9986288	9986355	9986552	9986603	134	94,84,98	45,50,32	73,71,91	34,25,29	98	49	0.335024515666	0.9238699389296543	0.511,0.457,0.605	0.518,0.587,0.611	-0.048
