ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
35	"ENSMUSG00000071647"	"Eml3"	chr19	+	8916391	8916649	8916391	8916480	8916551	8916649	35	55,65,40	52,49,32	57,69,62	44,55,55	120	49	0.927935763812	1.0	0.302,0.351,0.338	0.346,0.339,0.315	-0.003
36	"ENSMUSG00000010097"	"Nxf1"	chr19	+	8742285	8744197	8742285	8742395	8744160	8744197	36	7907,6252,8503	124,184,131	9463,10154,9847	123,134,145	1814	49	0.0311355644781	0.27919611410282685	0.633,0.479,0.637	0.675,0.672,0.647	-0.082
37	"ENSMUSG00000010097"	"Nxf1"	chr19	+	8744443	8744647	8744443	8744512	8744591	8744647	37	114,80,86	367,395,417	89,112,132	403,409,426	128	49	0.317556807787	0.8633309586141914	0.106,0.072,0.073	0.078,0.095,0.106	-0.009
38	"ENSMUSG00000010110"	"Stx5a"	chr19	+	8720443	8720787	8720443	8720499	8720716	8720787	38	209,131,167	132,155,202	219,200,241	164,189,178	266	49	0.161211004912	0.6576941722134493	0.226,0.135,0.132	0.197,0.163,0.2	-0.022
39	"ENSMUSG00000010110"	"Stx5a"	chr19	+	8726018	8726252	8726018	8726075	8726170	8726252	39	232,145,197	131,98,138	230,209,232	130,134,138	144	49	0.578854390415	1.0	0.376,0.335,0.327	0.376,0.347,0.364	-0.016
40	"ENSMUSG00000042729"	"Wdr74"	chr19	+	8713350	8713661	8713350	8713457	8713539	8713661	40	58,54,49	71,89,73	41,42,37	54,60,54	131	49	0.886510545256	1.0	0.234,0.185,0.201	0.221,0.208,0.204	-0.004
41	"ENSMUSG00000108414"	"Snhg1"	chr19	+	8701766	8702085	8701766	8701847	8702035	8702085	41	313,602,281	259,459,235	209,201,184	224,227,225	237	49	0.0012962600342	0.04378766395527601	0.2,0.213,0.198	0.162,0.155,0.145	0.05
42	"ENSMUSG00000108414"	"Snhg1"	chr19	+	8702377	8702620	8702377	8702410	8702585	8702620	42	308,619,303	287,422,253	217,165,190	202,227,233	224	49	0.000619265003063	0.029774665726056086	0.19,0.243,0.208	0.19,0.137,0.151	0.054
43	"ENSMUSG00000108414"	"Snhg1"	chr19	+	8703145	8703466	8703145	8703190	8703430	8703466	43	592,1206,505	273,436,201	406,413,352	218,226,215	289	49	0.00109413845562	0.041390559780836	0.269,0.319,0.299	0.24,0.237,0.217	0.064
44	"ENSMUSG00000108414"	"Snhg1"	chr19	+	8703145	8703466	8703145	8703288	8703430	8703466	44	383,798,335	0,0,0	276,285,223	1,0,0	191	49	1	1.0	1.0,1.0,1.0	0.986,1.0,1.0	0.005
45	"ENSMUSG00000108414"	"Snhg1"	chr19	+	8703430	8703807	8703430	8703466	8703602	8703807	45	229,434,189	335,552,299	173,157,135	279,264,262	185	49	0.0649686661296	0.41408330978450725	0.153,0.172,0.143	0.141,0.136,0.12	0.024
47	"ENSMUSG00000024764"	"Naa40"	chr19	-	7207086	7207648	7207086	7207170	7207552	7207648	47	395,434,395	1,0,0	423,423,413	0,0,0	431	49	1	1.0	0.978,1.0,1.0	1.0,1.0,1.0	-0.007
48	"ENSMUSG00000024764"	"Naa40"	chr19	-	7211468	7212523	7211468	7211521	7212427	7212523	48	197,167,139	111,116,113	202,255,236	110,111,110	955	49	0.00573642805398	0.10705886169251072	0.083,0.069,0.059	0.086,0.105,0.099	-0.026
49	"ENSMUSG00000024965"	"Fermt3"	chr19	-	6979124	6979820	6979124	6979249	6979580	6979820	49	411,257,479	291,230,247	523,521,479	249,252,245	380	49	0.00157209795465	0.04726052668822566	0.154,0.126,0.2	0.213,0.21,0.201	-0.048
50	"ENSMUSG00000024965"	"Fermt3"	chr19	-	6980189	6980448	6980189	6980314	6980398	6980448	50	81,59,74	304,268,288	121,96,90	275,268,265	133	49	0.00110276802258	0.041390559780836	0.089,0.075,0.086	0.139,0.117,0.111	-0.039
51	"ENSMUSG00000024960"	"Plcb3"	chr19	-	6931748	6932130	6931748	6931835	6932072	6932130	51	19,36,28	33,35,29	43,42,30	26,26,34	286	49	0.0436332062209	0.33487236061527753	0.09,0.15,0.142	0.221,0.217,0.131	-0.062
52	"ENSMUSG00000024960"	"Plcb3"	chr19	-	6932574	6933274	6932574	6932725	6933081	6933274	52	35,20,14	13,21,14	27,37,35	16,9,15	405	49	0.0680949676451	0.4205206594244018	0.246,0.103,0.108	0.17,0.332,0.22	-0.088
53	"ENSMUSG00000024958"	"Gpr137"	chr19	-	6915437	6916242	6915437	6915897	6916123	6916242	53	20,11,10	19,23,24	8,20,6	28,40,38	275	49	0.0254365242938	0.2537661227872973	0.158,0.079,0.069	0.048,0.082,0.027	0.05
54	"ENSMUSG00000024958"	"Gpr137"	chr19	-	6917719	6918207	6917719	6917769	6917850	6918207	54	50,42,37	4,1,8	65,75,82	3,5,7	130	49	0.532257021938	1.0	0.825,0.941,0.635	0.891,0.85,0.815	-0.052
55	"ENSMUSG00000024948"	"Map4k2"	chr19	+	6391773	6391997	6391773	6391864	6391932	6391997	55	203,156,157	116,77,120	283,227,251	142,125,127	117	49	0.262556571376	0.810709413261543	0.423,0.459,0.354	0.455,0.432,0.453	-0.035
56	"ENSMUSG00000024948"	"Map4k2"	chr19	+	6393831	6394109	6393831	6393913	6394001	6394109	56	115,54,53	180,126,177	85,84,97	213,199,179	137	49	0.987458665644	1.0	0.186,0.133,0.097	0.125,0.131,0.162	-0.001
57	"ENSMUSG00000024948"	"Map4k2"	chr19	+	6395606	6395866	6395606	6395640	6395757	6395866	57	108,77,51	208,134,229	104,86,86	253,282,233	166	49	0.324155178535	0.8652936215079213	0.133,0.145,0.062	0.108,0.083,0.098	0.017
58	"ENSMUSG00000024948"	"Map4k2"	chr19	+	6396113	6396323	6396113	6396155	6396238	6396323	58	188,113,168	232,165,240	194,200,165	245,301,240	132	49	0.810851544158	1.0	0.231,0.203,0.206	0.227,0.198,0.203	0.004
59	"ENSMUSG00000024948"	"Map4k2"	chr19	+	6402804	6403220	6402804	6402891	6403149	6403220	59	474,326,396	204,152,204	520,526,591	241,242,249	307	49	0.656955269645	1.0	0.271,0.255,0.237	0.256,0.258,0.275	-0.009
60	"ENSMUSG00000024947"	"Men1"	chr19	+	6385068	6385935	6385068	6385112	6385474	6385935	60	357,408,298	9,11,16	353,327,336	14,9,12	411	49	0.965181109184	1.0	0.825,0.816,0.689	0.75,0.812,0.769	-0.0
61	"ENSMUSG00000024947"	"Men1"	chr19	+	6388312	6388991	6388312	6388449	6388855	6388991	61	220,165,170	100,113,96	204,202,202	117,97,101	455	49	0.551203513156	1.0	0.192,0.136,0.16	0.158,0.183,0.177	-0.01
62	"ENSMUSG00000024773"	"Atg2a"	chr19	+	6308580	6309015	6308580	6308663	6308893	6309015	62	18,5,16	49,50,54	19,15,27	52,65,55	279	49	0.148647243213	0.6284485451483279	0.061,0.017,0.049	0.06,0.039,0.079	-0.017
63	"ENSMUSG00000024944"	"Arl2"	chr19	-	6186008	6187670	6186008	6186089	6187507	6187670	63	498,348,459	28,24,32	435,482,409	32,48,28	1467	49	0.183501747255	0.6918179712359264	0.373,0.326,0.324	0.312,0.251,0.328	0.044
64	"ENSMUSG00000024787"	"Snx15"	chr19	-	6173859	6174218	6173859	6173980	6174182	6174218	64	58,27,46	28,12,37	71,64,55	33,33,36	251	49	0.677884327346	1.0	0.288,0.305,0.195	0.296,0.275,0.23	-0.004
65	"ENSMUSG00000024941"	"Scyl1"	chr19	-	5808827	5809174	5808827	5808888	5808967	5809174	65	33,53,35	55,82,66	35,39,41	79,82,64	128	49	0.409819565395	0.9353854675029121	0.187,0.198,0.169	0.145,0.154,0.197	0.019
67	"ENSMUSG00000024940"	"Ltbp3"	chr19	+	5796670	5797051	5796670	5796763	5796928	5797051	67	2,1,1	5,2,5	0,1,3	13,4,12	214	49	1	1.0	0.084,0.103,0.044	0.0,0.054,0.054	0.041
68	"ENSMUSG00000024940"	"Ltbp3"	chr19	+	5801199	5801555	5801199	5801331	5801426	5801555	68	5,1,9	9,2,14	1,3,6	8,14,6	144	49	0.263256809273	0.8121292253188986	0.159,0.145,0.179	0.041,0.068,0.254	0.04
69	"ENSMUSG00000054874"	"Pcnx3"	chr19	-	5736654	5737246	5736654	5736694	5737146	5737246	69	27,27,29	63,70,98	45,39,34	93,88,67	501	49	0.13150181126	0.589142066891618	0.04,0.036,0.028	0.045,0.042,0.047	-0.01
70	"ENSMUSG00000056185"	"Snx32"	chr19	-	5546343	5547053	5546343	5546430	5547013	5547053	70	302,148,285	3,5,7	332,331,342	6,7,2	632	49	0.437734361932	0.9509110447628913	0.886,0.697,0.759	0.811,0.786,0.93	-0.062
71	"ENSMUSG00000056185"	"Snx32"	chr19	-	5548207	5548534	5548207	5548329	5548423	5548534	71	42,23,36	8,2,13	59,59,67	10,6,5	143	49	0.124954002087	0.5790049644031358	0.643,0.798,0.487	0.669,0.771,0.821	-0.111
72	"ENSMUSG00000056185"	"Snx32"	chr19	-	5548207	5548534	5548207	5548329	5548439	5548534	72	50,26,47	6,2,3	69,71,76	4,8,3	159	49	0.693791124434	1.0	0.72,0.8,0.828	0.842,0.732,0.886	-0.037
73	"ENSMUSG00000024910"	"Ctsw"	chr19	-	5516047	5516339	5516047	5516173	5516258	5516339	73	119,37,56	63,17,39	64,75,75	23,34,30	134	49	0.0950010408087	0.5077745503983997	0.409,0.443,0.344	0.504,0.446,0.478	-0.077
74	"ENSMUSG00000024910"	"Ctsw"	chr19	-	5516258	5516513	5516258	5516339	5516416	5516513	74	124,44,57	53,21,39	73,82,75	32,39,33	126	49	0.527211419304	1.0	0.476,0.449,0.362	0.47,0.45,0.469	-0.034
75	"ENSMUSG00000024910"	"Ctsw"	chr19	-	5516608	5517164	5516608	5516763	5517050	5517164	75	306,112,185	61,30,55	149,181,174	30,52,45	336	49	0.923940052011	1.0	0.422,0.353,0.329	0.42,0.337,0.361	-0.005
76	"ENSMUSG00000024855"	"Pacs1"	chr19	-	5192271	5192698	5192271	5192382	5192543	5192698	76	3,2,4	51,32,40	6,7,3	28,44,60	210	49	0.169543884962	0.6728102412723944	0.014,0.014,0.023	0.048,0.036,0.012	-0.015
77	"ENSMUSG00000063904"	"Dpp3"	chr19	-	4964607	4964962	4964607	4964728	4964837	4964962	77	58,45,49	111,119,103	49,58,64	94,103,93	158	49	0.109499042743	0.5399821407092759	0.139,0.105,0.129	0.139,0.149,0.176	-0.03
78	"ENSMUSG00000063904"	"Dpp3"	chr19	-	4966725	4967114	4966725	4966838	4966919	4967114	78	8,5,6	146,150,118	5,3,5	107,119,115	130	49	0.530247177618	1.0	0.02,0.012,0.019	0.017,0.009,0.016	0.003
79	"ENSMUSG00000083282"	"Ctsf"	chr19	+	4906097	4906336	4906097	4906182	4906274	4906336	79	3,0,3	10,7,4	2,4,7	9,10,13	141	49	0.256287551004	0.8053389277130345	0.094,0.0,0.207	0.072,0.122,0.158	-0.017
80	"ENSMUSG00000083282"	"Ctsf"	chr19	+	4908619	4909550	4908619	4908700	4909430	4909550	80	8,6,10	2,5,9	14,11,16	6,15,9	779	49	0.923132767989	1.0	0.201,0.07,0.065	0.128,0.044,0.101	0.021
81	"ENSMUSG00000034616"	"Ssh3"	chr19	-	4314341	4315177	4314341	4314488	4315130	4315177	81	254,156,161	23,17,14	255,301,311	25,17,22	691	49	0.262516841505	0.810709413261543	0.439,0.394,0.449	0.42,0.557,0.501	-0.065
82	"ENSMUSG00000034616"	"Ssh3"	chr19	-	4316402	4316665	4316402	4316474	4316549	4316665	82	19,21,11	31,19,31	20,28,24	27,20,41	124	49	0.338495174863	0.8773583310439861	0.195,0.304,0.123	0.226,0.356,0.188	-0.049
83	"ENSMUSG00000034616"	"Ssh3"	chr19	-	4317774	4318610	4317774	4318006	4318572	4318610	83	167,153,161	11,12,13	167,197,206	13,17,23	615	49	0.360586952504	0.8956343570283177	0.547,0.504,0.497	0.506,0.48,0.416	0.049
84	"ENSMUSG00000040663"	"Clcf1"	chr19	+	4270231	4273544	4270231	4270398	4272127	4273544	84	519,151,295	4,2,4	433,553,562	6,10,12	1778	49	0.102092672398	0.525981828967991	0.781,0.675,0.67	0.665,0.604,0.563	0.098
85	"ENSMUSG00000024824"	"Rad9a"	chr19	-	4247337	4247585	4247337	4247402	4247475	4247585	85	102,79,117	33,36,28	131,128,117	27,30,33	122	49	0.130924380632	0.5888295362257451	0.554,0.468,0.627	0.661,0.631,0.587	-0.077
86	"ENSMUSG00000024824"	"Rad9a"	chr19	-	4247337	4247779	4247337	4247585	4247669	4247779	86	14,24,17	66,60,62	22,20,19	65,49,47	133	49	0.256077825768	0.8053389277130345	0.072,0.128,0.092	0.111,0.131,0.13	-0.027
87	"ENSMUSG00000040247"	"Tbc1d10c"	chr19	-	4238244	4238723	4238244	4238310	4238565	4238723	87	1814,1110,1393	0,0,0	1799,1787,1535	0,0,2	304	49	1	1.0	1.0,1.0,1.0	1.0,1.0,0.992	0.003
88	"ENSMUSG00000024851"	"Pitpnm1"	chr19	+	4156711	4157975	4156711	4156962	4157785	4157975	88	700,332,463	28,17,20	654,797,632	16,19,16	872	49	0.00453872432357	0.09126077836321107	0.584,0.523,0.565	0.697,0.702,0.689	-0.139
89	"ENSMUSG00000024851"	"Pitpnm1"	chr19	+	4161581	4162014	4161581	4161698	4161865	4162014	89	51,27,35	52,40,38	51,46,49	46,63,44	216	49	0.579576847732	1.0	0.182,0.133,0.173	0.201,0.142,0.202	-0.019
90	"ENSMUSG00000060803"	"Gstp1"	chr19	-	4087103	4087396	4087103	4087191	4087289	4087396	90	2,5,1	108,92,124	3,2,1	94,125,109	147	49	1	1.0	0.006,0.018,0.003	0.011,0.005,0.003	0.003
91	"ENSMUSG00000037263"	"Aldh3b3"	chr19	+	4015632	4016538	4015632	4016019	4016371	4016538	91	3,2,4	0,0,1	2,8,10	0,0,0	401	49	1	1.0	1.0,1.0,0.328	1.0,1.0,1.0	-0.224
92	"ENSMUSG00000001750"	"Tcirg1"	chr19	-	3948547	3948875	3948547	3948638	3948717	3948875	92	23,29,11	101,66,83	33,29,30	87,122,120	128	49	0.558359686217	1.0	0.08,0.144,0.048	0.127,0.083,0.087	-0.008
93	"ENSMUSG00000001750"	"Tcirg1"	chr19	-	3951890	3952556	3951890	3952035	3952343	3952556	93	302,210,260	18,12,24	327,365,387	24,11,22	357	49	0.254194169041	0.8050739517244996	0.697,0.706,0.598	0.652,0.82,0.707	-0.059
94	"ENSMUSG00000001750"	"Tcirg1"	chr19	-	3953045	3953428	3953045	3953172	3953339	3953428	94	150,99,114	35,24,43	158,158,152	45,51,51	216	49	0.545319579231	1.0	0.493,0.483,0.376	0.443,0.413,0.403	0.031
95	"ENSMUSG00000024843"	"Chka"	chr19	+	3939879	3942213	3939879	3939988	3942106	3942213	95	353,256,421	47,53,58	402,365,366	58,76,57	2167	49	0.561276366179	1.0	0.145,0.098,0.141	0.135,0.098,0.127	0.008
96	"ENSMUSG00000024913"	"Lrp5"	chr19	-	3643515	3647480	3643515	3643626	3647243	3647480	96	142,127,138	43,65,27	182,151,183	43,41,38	3666	49	0.0441770955467	0.3368628188640013	0.042,0.025,0.064	0.054,0.047,0.06	-0.01
97	"ENSMUSG00000024908"	"Ppp6r3"	chr19	-	3533527	3537091	3533527	3534916	3536975	3537091	97	97,83,65	234,208,274	59,71,73	262,244,242	2108	49	1	1.0	0.01,0.009,0.005	0.005,0.007,0.007	0.002
98	"ENSMUSG00000024614"	"Tmx3"	chr18	+	90551344	90552562	90551344	90551398	90552505	90552562	98	202,130,108	103,99,123	165,102,153	88,91,115	1156	49	0.656723741494	1.0	0.077,0.053,0.036	0.074,0.045,0.053	-0.002
99	"ENSMUSG00000024645"	"Timm21"	chr18	-	84965958	84967416	84965958	84966064	84967318	84967416	99	763,624,831	1,1,1	816,837,774	1,0,0	1303	49	0.670268339682	1.0	0.966,0.959,0.969	0.968,1.0,1.0	-0.025
100	"ENSMUSG00000024645"	"Timm21"	chr18	-	84967318	84967577	84967318	84967416	84967514	84967577	100	95,80,105	47,65,66	72,100,96	60,59,67	147	49	0.587062335359	1.0	0.403,0.291,0.347	0.286,0.361,0.323	0.024
103	"ENSMUSG00000034006"	"Slc66a2"	chr18	+	80299521	80300333	80299521	80299618	80299996	80300333	103	43,37,30	11,12,19	43,54,63	22,29,26	427	49	0.421985876592	0.941260954120133	0.31,0.261,0.153	0.183,0.176,0.218	0.049
104	"ENSMUSG00000046415"	"B430212C06Rik"	chr18	-	67456865	67457789	67456865	67456949	67457560	67457789	104	0,0,1	0,1,0	0,0,1	0,0,0	660	49	1	1.0	NA,0.0,1.0	NA,NA,1.0	-0.5
105	"ENSMUSG00000062526"	"Mppe1"	chr18	-	67360874	67362075	67360874	67360949	67362000	67362075	105	438,361,506	0,2,1	598,691,599	1,2,0	1100	49	1	1.0	1.0,0.889,0.958	0.964,0.939,1.0	-0.019
106	"ENSMUSG00000062526"	"Mppe1"	chr18	-	67361083	67362075	67361083	67361192	67362000	67362075	106	295,231,344	49,39,46	414,474,425	52,62,51	857	49	0.156879341138	0.645479189237715	0.256,0.253,0.3	0.313,0.304,0.323	-0.044
107	"ENSMUSG00000024587"	"Nars"	chr18	-	64634373	64634946	64634373	64634505	64634814	64634946	107	195,201,157	157,214,146	148,154,183	139,150,158	358	49	0.95582566527	1.0	0.145,0.114,0.128	0.127,0.123,0.137	0.0
108	"ENSMUSG00000024588"	"Fech"	chr18	-	64590335	64591785	64590335	64591288	64591725	64591785	108	9,8,12	41,44,54	4,3,9	41,40,46	486	49	0.100224977484	0.5232536516537963	0.022,0.018,0.022	0.01,0.008,0.019	0.008
109	"ENSMUSG00000024610"	"Cd74"	chr18	+	60945223	60945718	60945223	60945437	60945494	60945718	109	3568,2214,3431	0,0,0	4867,6277,6371	0,1,0	106	49	1	1.0	1.0,1.0,1.0	1.0,1.0,1.0	0.0
111	"ENSMUSG00000050875"	"Minar2"	chr18	+	59198906	59200061	59198906	59198957	59199981	59200061	111	0,2,7	0,0,0	4,0,9	0,0,1	1073	49	1	1.0	NA,1.0,1.0	1.0,NA,0.291	0.355
112	"ENSMUSG00000050875"	"Minar2"	chr18	+	59198906	59200061	59198906	59198957	59200000	59200061	112	0,2,7	0,0,0	4,2,12	1,0,1	1092	49	1	1.0	NA,1.0,1.0	0.152,1.0,0.35	0.499
113	"ENSMUSG00000048799"	"Cep120"	chr18	-	53856154	53857653	53856154	53856377	53857425	53857653	113	68,49,95	40,47,54	78,97,93	48,57,54	1097	49	0.461334573984	0.9642543861367568	0.071,0.044,0.073	0.068,0.071,0.071	-0.007
117	"ENSMUSG00000036452"	"Arhgap26"	chr18	+	39490605	39490881	39490605	39490716	39490851	39490881	117	15,6,17	0,0,0	25,12,27	1,0,0	184	49	1	1.0	1.0,1.0,1.0	0.869,1.0,1.0	0.044
118	"ENSMUSG00000024442"	"Dele1"	chr18	+	38385873	38387122	38385873	38386018	38386960	38387122	118	37,31,44	57,79,54	41,54,66	58,51,49	991	49	0.00289591615713	0.06672467590715517	0.031,0.019,0.039	0.034,0.05,0.062	-0.019
119	"ENSMUSG00000024454"	"Hdac3"	chr18	-	38074005	38074819	38074005	38074163	38074431	38074819	119	34,39,42	142,180,165	60,36,44	142,152,142	317	49	0.0638424404957	0.4115644351039591	0.036,0.032,0.038	0.061,0.035,0.046	-0.012
120	"ENSMUSG00000024454"	"Hdac3"	chr18	-	38074005	38074819	38074005	38074163	38074760	38074819	120	401,374,367	0,0,0	399,380,385	2,0,2	646	49	0.389314298037	0.9177276334745192	1.0,1.0,1.0	0.938,1.0,0.936	0.042
121	"ENSMUSG00000024454"	"Hdac3"	chr18	-	38074431	38074819	38074431	38074511	38074760	38074819	121	232,219,201	103,97,86	236,242,238	73,88,76	298	49	0.03172797175	0.2798019033954684	0.27,0.271,0.278	0.347,0.311,0.34	-0.06
122	"ENSMUSG00000024454"	"Hdac3"	chr18	-	38076730	38077262	38076730	38076804	38077181	38077262	122	319,278,377	110,101,106	299,297,356	109,109,83	426	49	0.812538580396	1.0	0.25,0.24,0.29	0.24,0.239,0.33	-0.01
123	"ENSMUSG00000044595"	"Dnd1"	chr18	-	36898148	36899063	36898148	36898610	36898945	36899063	123	14,29,14	1,2,1	18,14,23	1,2,3	384	49	0.524582368703	1.0	0.641,0.649,0.641	0.697,0.472,0.495	0.089
124	"ENSMUSG00000024474"	"Ik"	chr18	+	36881603	36882337	36881603	36881771	36881923	36882337	124	75,74,99	295,304,350	85,112,113	311,318,343	201	49	0.11490826931	0.5482487764536441	0.058,0.056,0.065	0.062,0.079,0.074	-0.012
125	"ENSMUSG00000024474"	"Ik"	chr18	+	36881923	36882337	36881923	36882038	36882266	36882337	125	165,146,220	213,187,175	206,197,190	175,182,204	277	49	0.228856893306	0.7746278412702085	0.121,0.121,0.182	0.172,0.161,0.141	-0.017
126	"ENSMUSG00000091896"	"Ube2d2a"	chr18	+	35933004	35933268	35933004	35933082	35933162	35933268	126	90,87,94	264,324,265	118,131,144	271,278,299	129	49	0.00231252970025	0.06055601029026745	0.115,0.093,0.119	0.142,0.152,0.155	-0.041
127	"ENSMUSG00000038773"	"Kdm3b"	chr18	+	34927502	34928833	34927502	34927616	34928727	34928833	127	10,5,9	79,57,84	15,6,7	106,98,95	1160	49	1	1.0	0.005,0.004,0.005	0.006,0.003,0.003	0.001
128	"ENSMUSG00000044201"	"Cdc25c"	chr18	-	34883790	34884264	34883790	34884016	34884166	34884264	128	31,23,24	31,20,20	21,24,21	26,34,28	199	49	0.115543125168	0.5491416460155528	0.198,0.221,0.228	0.166,0.148,0.156	0.059
129	"ENSMUSG00000024370"	"Cdc23"	chr18	-	34769755	34770231	34769755	34769831	34770111	34770231	129	71,48,49	112,135,140	56,62,55	99,129,112	329	49	0.305958121715	0.8512534409356296	0.086,0.05,0.05	0.078,0.067,0.068	-0.009
130	"ENSMUSG00000003778"	"Brd8"	chr18	-	34741470	34743002	34741470	34741680	34742857	34743002	130	1181,1465,1534	57,73,86	1224,1486,1389	97,90,70	1226	49	0.152435546435	0.6353993182904464	0.453,0.445,0.416	0.335,0.398,0.442	0.046
131	"ENSMUSG00000014504"	"Srp19"	chr18	+	34464802	34467417	34464802	34464878	34467345	34467417	131	1285,1032,1407	97,101,114	1494,1540,1490	97,119,100	2516	49	0.107131110071	0.5353385944080443	0.205,0.166,0.194	0.231,0.201,0.225	-0.031
