ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
17	"ENSMUSG00000025007"	"Aldh18a1"	chr19	-	40562654	40562813	40562660	40562813	40562214	40562305	17	28,37,28	14,9,13	33,33,40	4,8,8	55	49	0.0232825647642	0.3643836235531669	0.641,0.786,0.657	0.88,0.786,0.817	-0.133
18	"ENSMUSG00000024798"	"Htr7"	chr19	-	35946703	35947464	35946708	35947464	35936133	35937799	18	3,0,0	3,3,0	1,1,1	3,2,1	54	49	1	1.0	0.476,0.0,NA	0.232,0.312,0.476	-0.102
19	"ENSMUSG00000024795"	"Kif20b"	chr19	+	34912307	34912532	34912307	34912404	34913025	34913137	19	77,124,68	4,5,4	87,82,103	0,1,0	98	49	6.86612051868e-05	0.010067821895138516	0.906,0.925,0.895	1.0,0.976,1.0	-0.083
21	"ENSMUSG00000097855"	"A930007I19Rik"	chr19	-	29498173	29498369	29498247	29498369	29487548	29487729	21	11,7,7	1,0,1	6,6,10	0,0,1	98	49	1	1.0	0.846,1.0,0.778	1.0,1.0,0.833	-0.07
23	"ENSMUSG00000040929"	"Rfx3"	chr19	-	27808010	27808192	27808052	27808192	27803432	27803552	23	15,6,29	0,0,0	31,18,23	0,1,0	91	49	1	1.0	1.0,1.0,1.0	1.0,0.906,1.0	0.031
25	"ENSMUSG00000024921"	"Smarca2"	chr19	+	26725805	26726352	26725805	26725937	26727251	26727347	25	2,0,1	0,0,0	3,1,1	1,0,1	98	49	1	1.0	1.0,NA,1.0	0.6,1.0,0.333	0.356
26	"ENSMUSG00000059363"	"Fxn"	chr19	-	24249667	24249831	24249710	24249831	24244665	24244763	26	2,4,3	45,90,42	3,0,6	60,44,56	92	49	0.870871454878	1.0	0.023,0.023,0.037	0.026,0.0,0.054	0.001
27	"ENSMUSG00000024943"	"Smc5"	chr19	-	23192005	23192104	23192008	23192104	23191429	23191534	27	58,61,53	86,77,82	61,52,58	59,94,81	52	49	0.792477042126	1.0	0.389,0.427,0.379	0.493,0.343,0.403	-0.015
29	"ENSMUSG00000046230"	"Vps13a"	chr19	-	16722149	16722321	16722187	16722321	16720359	16720422	29	10,22,16	0,0,0	18,17,26	0,0,1	87	49	1	1.0	1.0,1.0,1.0	1.0,1.0,0.936	0.021
34	"ENSMUSG00000067577"	"A430093F15Rik"	chr19	+	10759125	10760445	10759125	10759328	10762596	10762709	34	19,13,9	0,0,1	6,21,12	0,0,0	98	49	1	1.0	1.0,1.0,0.818	1.0,1.0,1.0	-0.061
36	"ENSMUSG00000034445"	"Cyb561a3"	chr19	+	10554814	10555257	10554814	10554927	10556345	10556438	36	14,18,25	1,0,0	33,33,28	1,4,2	98	49	0.0030859377295	0.13689561365224764	0.875,1.0,1.0	0.943,0.805,0.875	0.084
38	"ENSMUSG00000024660"	"Incenp"	chr19	-	9855040	9855612	9855491	9855612	9853953	9854180	38	243,316,253	4,1,2	207,224,201	1,2,4	98	49	0.731224717766	1.0	0.968,0.994,0.984	0.99,0.982,0.962	0.004
39	"ENSMUSG00000071646"	"Mta2"	chr19	+	8923630	8924114	8923630	8923748	8924400	8924500	39	382,427,398	0,1,0	390,348,350	0,0,1	98	49	1	1.0	1.0,0.995,1.0	1.0,1.0,0.994	0.0
40	"ENSMUSG00000010097"	"Nxf1"	chr19	+	8739675	8739859	8739675	8739851	8740046	8740200	40	367,441,410	0,0,0	449,456,459	0,0,1	57	49	1	1.0	1.0,1.0,1.0	1.0,1.0,0.997	0.001
42	"ENSMUSG00000010110"	"Stx5a"	chr19	+	8720716	8720866	8720716	8720787	8725824	8725941	42	51,33,31	75,106,126	49,52,53	113,127,97	98	49	0.310281888032	1.0	0.254,0.135,0.11	0.178,0.17,0.215	-0.021
43	"ENSMUSG00000010110"	"Stx5a"	chr19	+	8726170	8726263	8726170	8726252	8727029	8727136	43	17,14,24	164,125,155	25,17,20	160,166,166	60	49	0.918848286669	1.0	0.078,0.084,0.112	0.113,0.077,0.09	-0.002
44	"ENSMUSG00000042729"	"Wdr74"	chr19	+	8715211	8715358	8715211	8715226	8715516	8715618	44	150,199,164	2,2,0	148,129,130	0,1,1	98	49	1	1.0	0.974,0.98,1.0	1.0,0.985,0.985	-0.005
45	"ENSMUSG00000108414"	"Snhg1"	chr19	+	8703145	8703288	8703145	8703190	8703430	8703466	45	91,190,73	273,436,201	67,53,55	218,226,215	98	49	0.00555758533732	0.19237760952166255	0.143,0.179,0.154	0.133,0.105,0.113	0.042
47	"ENSMUSG00000024764"	"Naa40"	chr19	-	7211468	7212523	7212427	7212523	7207552	7207648	47	109,133,131	1,0,0	122,125,114	0,1,0	98	49	1	1.0	0.982,1.0,1.0	1.0,0.984,1.0	-0.001
48	"ENSMUSG00000024965"	"Fermt3"	chr19	-	6979937	6980044	6979947	6980044	6979124	6979820	48	336,309,312	4,0,3	325,324,296	5,5,4	59	49	0.361447751889	1.0	0.986,1.0,0.989	0.982,0.982,0.984	0.009
49	"ENSMUSG00000024960"	"Plcb3"	chr19	-	6942874	6942952	6942876	6942952	6942664	6942765	49	0,0,1	21,17,10	0,0,0	18,19,23	51	49	1	1.0	0.0,0.0,0.088	0.0,0.0,0.0	0.029
50	"ENSMUSG00000118668"	"RPS6KA4"	chr19	-	6817701	6817773	6817747	6817773	6816827	6817046	50	32,35,28	1,1,2	36,43,37	1,0,3	95	49	0.602803811593	1.0	0.943,0.948,0.878	0.949,1.0,0.864	-0.015
51	"ENSMUSG00000024948"	"Map4k2"	chr19	+	6393831	6394109	6393831	6393913	6394436	6394515	51	276,189,265	1,1,0	334,324,306	0,0,0	98	49	1	1.0	0.993,0.99,1.0	1.0,1.0,1.0	-0.006
52	"ENSMUSG00000024948"	"Map4k2"	chr19	+	6396721	6396847	6396721	6396839	6401209	6401268	52	36,25,42	309,205,292	50,59,61	379,408,369	57	49	0.336220244526	1.0	0.091,0.095,0.11	0.102,0.111,0.124	-0.014
53	"ENSMUSG00000024948"	"Map4k2"	chr19	+	6402804	6403220	6402804	6402891	6403307	6403363	53	498,327,422	0,0,1	544,581,548	0,0,0	98	49	1	1.0	1.0,1.0,0.995	1.0,1.0,1.0	-0.002
55	"ENSMUSG00000024773"	"Atg2a"	chr19	+	6305130	6305301	6305130	6305295	6305438	6305568	55	6,4,9	32,17,21	4,7,9	33,26,27	55	49	0.715486183926	1.0	0.143,0.173,0.276	0.097,0.193,0.229	0.024
56	"ENSMUSG00000039699"	"Batf2"	chr19	+	6214483	6215198	6214483	6214780	6216497	6216602	56	1,0,0	0,0,1	2,0,0	0,0,0	98	49	1	1.0	1.0,NA,0.0	1.0,NA,NA	-0.5
58	"ENSMUSG00000079478"	"Znrd2"	chr19	-	5781466	5781623	5781471	5781623	5781268	5781353	58	7,19,2	54,65,50	2,3,6	64,45,50	54	49	0.0174977066938	0.3228376745508843	0.105,0.21,0.035	0.028,0.057,0.098	0.056
59	"ENSMUSG00000054874"	"Pcnx3"	chr19	-	5733304	5733440	5733334	5733440	5731459	5731581	59	85,78,107	4,6,10	87,90,87	5,3,4	79	49	0.151178646282	0.937846156833374	0.929,0.89,0.869	0.915,0.949,0.931	-0.036
60	"ENSMUSG00000054874"	"Pcnx3"	chr19	-	5733304	5733440	5733334	5733440	5731459	5731602	60	59,46,62	4,5,4	62,56,61	3,1,1	79	49	0.0160382447092	0.3103273063573778	0.901,0.851,0.906	0.928,0.972,0.974	-0.072
61	"ENSMUSG00000056185"	"Snx32"	chr19	-	5548423	5548534	5548439	5548534	5548207	5548329	61	16,5,24	6,2,3	20,18,14	4,8,3	65	49	0.692995534195	1.0	0.668,0.653,0.858	0.79,0.629,0.779	-0.006
62	"ENSMUSG00000024910"	"Ctsw"	chr19	-	5516608	5516763	5516695	5516763	5516416	5516513	62	168,70,121	0,0,1	93,112,97	0,0,0	98	49	1	1.0	1.0,1.0,0.984	1.0,1.0,1.0	-0.005
63	"ENSMUSG00000086938"	"4930481A15Rik"	chr19	+	5465035	5465140	5465035	5465127	5465634	5465840	63	6,19,7	0,1,1	6,4,3	1,1,1	62	49	0.0999957421134	0.8260556669810438	1.0,0.938,0.847	0.826,0.76,0.703	0.165
65	"ENSMUSG00000034108"	"Ccs"	chr19	-	4884200	4884338	4884267	4884338	4883368	4883475	65	60,39,61	4,1,1	62,61,64	2,0,1	98	49	0.108881323061	0.8347443921723448	0.882,0.951,0.968	0.939,1.0,0.97	-0.036
66	"ENSMUSG00000034108"	"Ccs"	chr19	-	4884200	4884338	4884221	4884338	4883368	4883546	66	74,60,77	3,2,3	72,85,90	3,2,4	70	49	0.911331863284	1.0	0.945,0.955,0.947	0.944,0.967,0.94	-0.001
67	"ENSMUSG00000034108"	"Ccs"	chr19	-	4884200	4884338	4884267	4884338	4883368	4883546	67	111,73,117	0,0,0	119,124,133	1,3,2	98	49	0.63726127219	1.0	1.0,1.0,1.0	0.983,0.954,0.971	0.031
68	"ENSMUSG00000034108"	"Ccs"	chr19	-	4884221	4884338	4884267	4884338	4883368	4883546	68	61,38,62	0,0,0	64,61,67	1,3,2	95	49	0.1275615698	0.8844019168371785	1.0,1.0,1.0	0.971,0.913,0.945	0.057
69	"ENSMUSG00000096370"	"Gm21992"	chr19	-	4843843	4844037	4843953	4844037	4842662	4842848	69	92,70,88	1,1,3	99,86,75	2,2,0	98	49	0.594672824248	1.0	0.979,0.972,0.936	0.961,0.956,1.0	-0.01
70	"ENSMUSG00000024889"	"Rce1"	chr19	-	4674687	4674791	4674712	4674791	4674041	4674179	70	7,9,11	1,2,1	6,9,10	0,0,2	74	49	0.190760536344	1.0	0.823,0.749,0.879	1.0,1.0,0.768	-0.106
71	"ENSMUSG00000024889"	"Rce1"	chr19	-	4674687	4674791	4674712	4674791	4674041	4674209	71	11,17,20	21,24,29	16,17,20	28,20,19	74	49	0.464768332794	1.0	0.258,0.319,0.313	0.275,0.36,0.411	-0.052
72	"ENSMUSG00000024824"	"Rad9a"	chr19	-	4247337	4247585	4247475	4247585	4247111	4247249	72	82,81,101	0,0,1	115,97,100	0,0,0	98	49	1	1.0	1.0,1.0,0.981	1.0,1.0,1.0	-0.006
73	"ENSMUSG00000059734"	"Ndufs8"	chr19	-	3962466	3962734	3962469	3962734	3961688	3961746	73	26,23,19	3,2,5	21,27,18	3,2,2	52	49	0.539719822738	1.0	0.891,0.916,0.782	0.868,0.927,0.895	-0.034
75	"ENSMUSG00000001750"	"Tcirg1"	chr19	-	3954584	3954705	3954613	3954705	3954216	3954295	75	94,107,109	2,1,1	135,136,139	1,0,0	78	49	0.642242717404	1.0	0.967,0.985,0.986	0.988,1.0,1.0	-0.017
76	"ENSMUSG00000024829"	"Mrpl21"	chr19	+	3334759	3334833	3334759	3334817	3335309	3335395	76	4,3,4	91,124,94	5,5,5	92,87,79	65	49	0.215518609387	1.0	0.032,0.018,0.031	0.039,0.042,0.046	-0.015
79	"ENSMUSG00000033016"	"Nfatc1"	chr18	-	80678616	80679291	80678905	80679291	80649419	80651240	79	30,29,16	23,22,22	23,31,26	18,32,15	98	49	0.66937319953	1.0	0.395,0.397,0.267	0.39,0.326,0.464	-0.04
81	"ENSMUSG00000025420"	"Katnal2"	chr18	-	77099679	77099800	77099685	77099800	77098642	77098741	81	0,1,0	0,0,0	0,0,0	0,1,0	55	49	1	1.0	NA,1.0,NA	NA,0.0,NA	1.0
82	"ENSMUSG00000025885"	"Myo5b"	chr18	+	74847896	74848045	74847896	74848030	74849029	74849149	82	2,0,1	9,1,3	2,2,0	1,1,1	64	49	0.1476921143	0.9269062924801231	0.145,0.0,0.203	0.605,0.605,0.0	-0.287
83	"ENSMUSG00000118134"	"4930549G23Rik"	chr18	-	67923747	67924019	67923888	67924019	67922421	67922547	83	5,9,8	1,0,0	8,2,10	1,0,0	98	49	1	1.0	0.714,1.0,1.0	0.8,1.0,1.0	-0.029
84	"ENSMUSG00000062526"	"Mppe1"	chr18	-	67361083	67362075	67362000	67362075	67360907	67360995	84	9,9,19	0,0,0	17,17,21	1,0,0	98	49	1	1.0	1.0,1.0,1.0	0.895,1.0,1.0	0.035
87	"ENSMUSG00000024581"	"Napg"	chr18	+	63117110	63117194	63117110	63117141	63119249	63119359	87	12,11,17	21,21,22	14,16,9	17,22,24	98	49	0.9250678461	1.0	0.222,0.208,0.279	0.292,0.267,0.158	-0.003
91	"ENSMUSG00000024477"	"Pggt1b"	chr18	-	46407652	46407775	46407656	46407775	46395956	46396024	91	13,10,5	36,25,29	9,7,8	20,35,33	53	49	0.716025684818	1.0	0.25,0.27,0.137	0.294,0.156,0.183	0.008
93	"ENSMUSG00000024431"	"Nr3c1"	chr18	-	39561666	39561833	39561669	39561833	39557435	39557552	93	26,32,35	102,128,156	27,16,35	131,155,165	52	49	0.0740759217071	0.6999887485345342	0.194,0.191,0.175	0.163,0.089,0.167	0.047
94	"ENSMUSG00000036452"	"Arhgap26"	chr18	+	39490605	39490881	39490605	39490716	39496169	39496261	94	8,2,3	18,19,26	10,7,6	17,13,22	98	49	0.0443139348957	0.5124133935900369	0.182,0.05,0.055	0.227,0.212,0.12	-0.091
95	"ENSMUSG00000060450"	"Rnf14"	chr18	+	38433481	38433636	38433481	38433537	38434708	38434860	95	114,86,98	0,0,0	119,118,123	1,0,1	98	49	1	1.0	1.0,1.0,1.0	0.983,1.0,0.984	0.011
96	"ENSMUSG00000060450"	"Rnf14"	chr18	+	38433481	38433643	38433481	38433537	38434708	38434860	96	151,109,132	0,0,0	160,160,162	1,0,1	98	49	1	1.0	1.0,1.0,1.0	0.988,1.0,0.988	0.008
97	"ENSMUSG00000060450"	"Rnf14"	chr18	+	38433481	38433643	38433481	38433636	38434708	38434860	97	64,41,65	0,0,0	63,70,59	1,0,0	56	49	1	1.0	1.0,1.0,1.0	0.982,1.0,1.0	0.006
98	"ENSMUSG00000044024"	"Rell2"	chr18	+	38088191	38089620	38088191	38088969	38089981	38090047	98	4,5,3	0,0,0	2,7,1	0,0,1	98	49	1	1.0	1.0,1.0,1.0	1.0,1.0,0.333	0.222
99	"ENSMUSG00000024454"	"Hdac3"	chr18	-	38074431	38074819	38074760	38074819	38074005	38074163	99	161,199,192	0,0,0	169,190,171	2,0,2	98	49	1	1.0	1.0,1.0,1.0	0.977,1.0,0.977	0.015
100	"ENSMUSG00000042660"	"Wdr55"	chr18	+	36895710	36895820	36895710	36895810	36895901	36896071	100	9,10,3	36,57,37	4,7,8	46,36,34	59	49	0.997136905011	1.0	0.172,0.127,0.063	0.067,0.139,0.163	-0.002
101	"ENSMUSG00000024483"	"Ankhd1"	chr18	+	36774451	36774558	36774451	36774531	36774629	36774746	101	7,5,5	2,0,2	12,6,6	0,3,1	76	49	0.80713980336	1.0	0.693,1.0,0.617	1.0,0.563,0.795	-0.016
102	"ENSMUSG00000024483"	"Ankhd1"	chr18	+	36789738	36789915	36789738	36789887	36791026	36791191	102	9,5,6	98,97,91	3,8,2	95,96,108	77	49	0.161787598624	0.9667602094247844	0.055,0.032,0.04	0.02,0.05,0.012	0.015
104	"ENSMUSG00000037236"	"Matr3"	chr18	+	35712318	35712371	35712318	35712363	35714222	35714348	104	375,458,375	4,3,3	363,358,344	5,5,3	57	49	0.812901196576	1.0	0.988,0.992,0.991	0.984,0.984,0.99	0.004
106	"ENSMUSG00000038773"	"Kdm3b"	chr18	+	34962220	34962351	34962220	34962311	34963181	34963301	106	286,201,271	1,0,4	350,382,335	5,1,3	89	49	0.635685201487	1.0	0.994,1.0,0.974	0.975,0.995,0.984	0.005
107	"ENSMUSG00000003778"	"Brd8"	chr18	-	34741470	34743002	34742857	34743002	34740827	34741108	107	107,137,124	14,18,14	127,145,141	11,9,5	98	49	0.00478035599199	0.17394787923091967	0.793,0.792,0.816	0.852,0.89,0.934	-0.092
108	"ENSMUSG00000014504"	"Srp19"	chr18	+	34464802	34467417	34464802	34464878	34467509	34467621	108	111,129,130	23,25,9	119,141,121	11,13,12	98	49	0.0714925003724	0.6862154169602803	0.707,0.721,0.878	0.844,0.844,0.834	-0.072
109	"ENSMUSG00000024384"	"Iws1"	chr18	+	32212723	32213630	32212723	32213038	32216321	32216511	109	93,85,81	0,0,1	92,78,81	0,0,0	98	49	1	1.0	1.0,1.0,0.976	1.0,1.0,1.0	-0.008
114	"ENSMUSG00000024430"	"Cabyr"	chr18	+	12883716	12884885	12883716	12884061	12886917	12887520	114	3,0,2	0,0,1	3,3,2	0,0,0	98	49	1	1.0	1.0,NA,0.5	1.0,1.0,1.0	-0.25
117	"ENSMUSG00000024424"	"Ttc39c"	chr18	+	12828292	12828647	12828292	12828619	12830947	12831116	117	11,2,8	0,0,0	9,10,8	0,1,2	77	49	0.745768221628	1.0	1.0,1.0,1.0	1.0,0.864,0.718	0.139
118	"ENSMUSG00000024287"	"Thoc1"	chr18	+	9959097	9959315	9959097	9959171	9960485	9960552	118	71,76,65	1,0,0	51,53,62	0,0,0	98	49	1	1.0	0.973,1.0,1.0	1.0,1.0,1.0	-0.009
119	"ENSMUSG00000024287"	"Thoc1"	chr18	+	9986288	9986603	9986288	9986355	9986690	9986761	119	118,151,114	0,1,2	85,96,111	0,0,1	98	49	1	1.0	1.0,0.987,0.966	1.0,1.0,0.982	-0.01
120	"ENSMUSG00000057440"	"Mpp7"	chr18	-	7626728	7626817	7626732	7626817	7561725	7561872	120	15,18,17	0,3,2	15,22,13	4,8,3	53	49	0.00971408204889	0.24588284155484555	1.0,0.847,0.887	0.776,0.718,0.8	0.147
121	"ENSMUSG00000024236"	"Svil"	chr18	+	5099433	5099710	5099433	5099697	5103574	5103726	121	59,56,60	0,0,0	66,103,85	0,0,1	62	49	1	1.0	1.0,1.0,1.0	1.0,1.0,0.985	0.005
122	"ENSMUSG00000096768"	"Gm47283"	chrY	+	90804564	90804949	90804564	90804686	90827617	90827733	122	15,22,16	280,268,198	7,21,41	72,191,244	98	49	0.002478870386	0.12772798549910583	0.026,0.039,0.039	0.046,0.052,0.078	-0.024
124	"ENSMUSG00000024911"	"Fibp"	chr19	+	5513198	5513353	5513198	5513332	5513631	5513740	124	53,48,39	59,41,42	64,49,57	46,43,64	70	49	0.519511476201	1.0	0.386,0.45,0.394	0.493,0.444,0.384	-0.03
127	"ENSMUSG00000068457"	"Uty"	chrY	-	1176490	1176584	1176495	1176584	1174727	1174854	127	53,36,33	1,0,6	61,60,63	2,0,7	54	49	0.918644010159	1.0	0.98,1.0,0.833	0.965,1.0,0.891	-0.014
129	"ENSMUSG00000045394"	"Epcam"	chr17	+	87943885	87944322	87943885	87944032	87947323	87947431	129	46,46,53	1,0,0	61,84,80	0,2,1	98	49	0.740402298253	1.0	0.958,1.0,1.0	1.0,0.955,0.976	0.009
130	"ENSMUSG00000036918"	"Ttc7"	chr17	+	87670883	87671022	87670883	87671018	87677886	87678089	130	0,0,0	54,46,52	0,0,1	35,57,33	53	49	1	1.0	0.0,0.0,0.0	0.0,0.0,0.027	-0.009
133	"ENSMUSG00000024097"	"Srsf7"	chr17	-	80511550	80511661	80511559	80511661	80510119	80510173	133	445,651,389	205,258,235	397,394,417	196,204,207	58	49	0.663660181366	1.0	0.647,0.681,0.583	0.631,0.62,0.63	0.01
134	"ENSMUSG00000024097"	"Srsf7"	chr17	-	80511550	80511661	80511583	80511661	80510119	80510173	134	778,1075,731	70,86,69	735,709,748	68,63,46	82	49	0.530560830026	1.0	0.869,0.882,0.864	0.866,0.871,0.907	-0.01
135	"ENSMUSG00000024097"	"Srsf7"	chr17	-	80511559	80511661	80511583	80511661	80510119	80510173	135	538,682,577	70,86,69	534,519,538	68,63,46	73	49	0.362518829391	1.0	0.838,0.842,0.849	0.841,0.847,0.887	-0.015
136	"ENSMUSG00000024073"	"Birc6"	chr17	+	74912983	74913130	74912983	74913118	74915091	74915279	136	3,3,3	49,59,38	6,0,1	28,20,30	61	49	0.701241536851	1.0	0.047,0.039,0.06	0.147,0.0,0.026	-0.009
137	"ENSMUSG00000024073"	"Birc6"	chr17	+	74922214	74922352	74922214	74922325	74925430	74925558	137	72,104,70	39,44,25	56,26,61	44,20,26	76	49	0.114411242482	0.8582603359111262	0.543,0.604,0.644	0.451,0.456,0.602	0.094
138	"ENSMUSG00000024073"	"Birc6"	chr17	+	74925430	74926833	74925430	74925558	74929030	74929246	138	67,85,57	1,0,0	63,42,64	0,0,0	98	49	1	1.0	0.971,1.0,1.0	1.0,1.0,1.0	-0.01
139	"ENSMUSG00000024072"	"Yipf4"	chr17	+	74800922	74801094	74800922	74801010	74803584	74803662	139	232,221,257	5,7,7	267,267,248	4,6,5	98	49	0.331007806435	1.0	0.959,0.94,0.948	0.971,0.957,0.961	-0.014
140	"ENSMUSG00000024066"	"Xdh"	chr17	-	74194880	74198294	74198105	74198294	74193337	74193514	140	1,0,0	42,22,37	1,1,0	37,36,36	98	49	1	1.0	0.012,0.0,0.0	0.013,0.014,0.0	-0.005
141	"ENSMUSG00000024059"	"Clip4"	chr17	+	72135501	72135700	72135501	72135645	72138199	72138334	141	25,8,2	29,27,26	7,10,12	34,25,26	98	49	0.891092705017	1.0	0.301,0.129,0.037	0.093,0.167,0.187	0.007
144	"ENSMUSG00000035842"	"Ddx11"	chr17	+	66437454	66437541	66437454	66437463	66437674	66437829	144	91,87,94	2,1,1	85,77,78	0,0,0	98	49	0.409994882924	1.0	0.958,0.978,0.979	1.0,1.0,1.0	-0.028
146	"ENSMUSG00000034116"	"Vav1"	chr17	+	57586099	57586401	57586099	57586284	57602981	57603098	146	503,463,483	0,2,1	519,477,452	0,1,1	98	49	1	1.0	1.0,0.991,0.996	1.0,0.996,0.996	-0.002
147	"ENSMUSG00000042625"	"Safb2"	chr17	-	56878209	56878319	56878256	56878319	56875894	56876022	147	426,438,457	0,0,1	458,447,532	1,1,1	96	49	1	1.0	1.0,1.0,0.996	0.996,0.996,0.996	0.003
148	"ENSMUSG00000042625"	"Safb2"	chr17	-	56885636	56885844	56885640	56885844	56884842	56884905	148	36,19,45	145,141,127	48,55,50	155,150,165	53	49	0.0888289788764	0.7762188189987929	0.187,0.111,0.247	0.223,0.253,0.219	-0.05
149	"ENSMUSG00000042625"	"Safb2"	chr17	-	56885636	56885844	56885692	56885844	56884842	56884905	149	189,144,175	1,2,5	188,187,200	1,1,0	98	49	0.211567398387	1.0	0.99,0.973,0.946	0.989,0.989,1.0	-0.023
150	"ENSMUSG00000042625"	"Safb2"	chr17	-	56885640	56885844	56885692	56885844	56884842	56884905	150	305,272,273	1,2,5	303,305,325	1,1,0	98	49	0.753586356664	1.0	0.993,0.986,0.965	0.993,0.993,1.0	-0.014
151	"ENSMUSG00000064120"	"Mocs1"	chr17	+	49746449	49746624	49746449	49746614	49756127	49756189	151	3,3,0	30,31,51	2,6,9	48,52,42	59	49	0.0356338551943	0.45716056133971983	0.077,0.074,0.0	0.033,0.087,0.151	-0.04
154	"ENSMUSG00000034165"	"Ccnd3"	chr17	+	47889633	47889717	47889633	47889698	47904533	47904777	154	144,118,228	3,5,7	231,223,228	8,5,13	68	49	0.406388894354	1.0	0.972,0.944,0.959	0.954,0.97,0.927	0.008
155	"ENSMUSG00000034165"	"Ccnd3"	chr17	+	47889633	47889717	47889633	47889698	47904569	47904777	155	133,108,221	6,6,9	210,212,220	14,13,4	68	49	0.819499988357	1.0	0.941,0.928,0.947	0.915,0.922,0.975	0.001
156	"ENSMUSG00000034165"	"Ccnd3"	chr17	+	47889633	47889717	47889633	47889698	47904578	47904777	156	134,111,212	7,5,10	208,214,210	14,9,12	68	49	0.536863561787	1.0	0.932,0.941,0.939	0.915,0.945,0.927	0.008
157	"ENSMUSG00000064043"	"Trerf1"	chr17	+	47630277	47630604	47630277	47630544	47634203	47634588	157	36,26,28	1,2,2	12,6,9	0,2,3	98	49	0.318999615182	1.0	0.947,0.867,0.875	1.0,0.6,0.6	0.163
158	"ENSMUSG00000023952"	"Gtpbp2"	chr17	+	46471957	46472252	46471957	46472217	46474408	46474435	158	167,106,165	3,7,3	158,198,183	2,4,2	84	49	0.0991839013075	0.8260556669810438	0.97,0.898,0.97	0.979,0.967,0.982	-0.03
159	"ENSMUSG00000053477"	"Tcf4"	chr18	+	69811037	69811200	69811037	69811188	69814639	69814869	159	15,9,26	12,7,13	24,28,26	8,17,14	61	49	0.431416890649	1.0	0.501,0.508,0.616	0.707,0.57,0.599	-0.084
160	"ENSMUSG00000038954"	"Supt3"	chr17	+	45352102	45352273	45352102	45352193	45359168	45359279	160	39,26,28	1,0,0	41,28,52	2,1,0	98	49	0.492076181203	1.0	0.951,1.0,1.0	0.911,0.933,1.0	0.036
161	"ENSMUSG00000039153"	"Runx2"	chr17	-	45125343	45125684	45125376	45125684	45125055	45125179	161	0,1,0	0,0,0	0,0,0	1,0,0	82	49	1	1.0	NA,1.0,NA	0.0,NA,NA	1.0
